rep,id,p0,alpha,tau
3,52,0.266866,0.052388,66.051504
4,52,0.266866,0.052900,66.142450
5,52,0.266866,0.052900,66.142450
6,52,0.266866,0.052900,66.142450
7,52,0.266866,0.052343,66.142450
8,52,0.266866,0.053100,66.142450
9,52,0.266866,0.053100,66.142450
10,52,0.266866,0.052816,66.101160
1,53,0.266866,0.044765,64.772856
2,53,0.266866,0.041085,64.042622
3,53,0.266866,0.040289,64.030641
4,53,0.266866,0.040868,64.156517
5,53,0.266866,0.042865,64.403732
6,53,0.266866,0.043824,65.002703
7,53,0.266866,0.045073,65.002703
8,53,0.266866,0.047641,65.286531
9,53,0.266866,0.050243,65.821452
10,53,0.266866,0.050243,65.821452
1,54,0.266866,0.033513,72.986808
2,54,0.266866,0.033555,72.959028
3,54,0.266866,0.033555,72.910569
4,54,0.266866,0.032386,72.910569
5,54,0.266866,0.033076,73.141405
6,54,0.266866,0.032973,72.792621
7,54,0.266866,0.032973,73.286580
8,54,0.266866,0.033291,73.374956
9,54,0.266866,0.033341,73.289046
10,54,0.266866,0.034127,73.028324
1,55,0.268309,0.066449,63.265399
2,55,0.268309,0.066449,63.215102
3,55,0.268309,0.066449,63.215102
4,55,0.268309,0.066912,63.262086
5,55,0.268309,0.066912,63.262086
6,55,0.268309,0.065145,63.168701
7,55,0.268309,0.067167,63.335705
8,55,0.268309,0.067167,63.335705
9,55,0.268309,0.067167,63.335705
10,55,0.268309,0.067167,63.335705
1,56,0.266866,0.060414,71.243426
2,56,0.266866,0.060328,71.243426
3,56,0.266866,0.058252,71.350449
4,56,0.266866,0.058269,71.206712
5,56,0.266866,0.056883,71.248285
6,56,0.266866,0.059082,70.976763
7,56,0.266866,0.056586,71.359401
8,56,0.266866,0.054816,71.265429
9,56,0.266866,0.054333,71.088253
10,56,0.266866,0.054333,70.955037
1,57,0.268202,0.037832,70.320113
2,57,0.268202,0.037832,70.272551
3,57,0.268202,0.037832,70.272551
4,57,0.268202,0.036052,70.170616
5,57,0.268202,0.039625,70.543108
6,57,0.268202,0.039625,70.543108
7,57,0.268202,0.038402,70.517881
8,57,0.268202,0.035726,69.978363
9,57,0.268202,0.036319,70.145279
10,57,0.268202,0.036724,70.145279
1,58,0.267230,0.020594,60.932950
2,58,0.267230,0.020644,60.932950
3,58,0.267230,0.020563,60.968074
4,58,0.267230,0.020563,60.825026
5,58,0.267230,0.021206,61.032617
6,58,0.267230,0.021197,61.052457
7,58,0.267230,0.021623,60.747502
8,58,0.267230,0.020997,61.269837
9,58,0.267230,0.021351,61.037544
