rep,id,eta_p0,eta_alpha,eta_tau
4,61,0.000000,0.553818,-7.799536
5,61,0.000000,0.537136,-7.708096
6,61,0.000000,0.559789,-7.708096
7,61,0.000000,0.566809,-7.706941
8,61,0.000000,0.566809,-7.706941
9,61,0.000000,0.541571,-7.711043
10,61,0.000000,0.539019,-7.855266
1,62,0.000000,0.845523,10.241820
2,62,0.000000,0.846572,10.101454
3,62,0.000000,0.846572,10.261015
4,62,0.000000,0.830268,10.261015
5,62,0.000000,0.767366,10.227395
6,62,0.000000,0.786627,10.227395
7,62,0.000000,0.822843,10.017189
8,62,0.000000,0.823920,10.198860
9,62,0.000000,0.823920,10.198860
10,62,0.000000,0.823920,10.198860
1,63,0.000000,-0.614884,-4.689942
2,63,0.000000,-0.614884,-4.689942
3,63,0.000000,-0.614884,-4.850172
4,63,0.000000,-0.620171,-4.850172
5,63,0.000000,-0.663022,-5.652749
6,63,0.000000,-0.677846,-5.612193
7,63,0.000000,-0.648434,-5.709373
8,63,0.000000,-0.668928,-5.614138
9,63,0.000000,-0.668928,-5.612042
10,63,0.000000,-0.664035,-5.406968
1,64,0.000000,0.039346,1.315419
2,64,0.000000,0.059681,1.304777
3,64,0.000000,0.029215,1.301302
4,64,0.000000,0.029215,1.301302
5,64,0.000000,0.069751,1.141278
6,64,0.000000,0.040869,1.003862
7,64,0.000000,0.040869,1.003862
8,64,0.000000,0.053155,0.998382
9,64,0.000000,0.051601,1.075566
10,64,0.000000,0.051601,1.484937
1,65,0.000000,0.058211,8.076004
2,65,0.000000,0.058211,8.076004
3,65,0.000000,0.036217,8.076004
4,65,0.000000,0.059565,8.076004
5,65,0.000000,0.021167,7.972898
6,65,0.000000,0.021167,8.159520
7,65,0.000000,0.021167,8.159520
8,65,0.000000,0.021167,8.159520
9,65,0.000000,0.021167,8.159520
10,65,0.000000,0.062882,8.562065
1,66,0.000000,0.590729,-0.173148
2,66,0.000000,0.590729,-0.126289
3,66,0.000000,0.581342,-0.204680
4,66,0.000000,0.589044,-0.329277
5,66,0.000000,0.575524,-0.207294
6,66,0.000000,0.602497,-0.309211
7,66,0.000000,0.592295,-0.269513
8,66,0.000000,0.592295,-0.269513
9,66,0.000000,0.621709,-0.025638
10,66,0.000000,0.621709,-0.025638
1,67,0.000000,0.052964,13.882050
2,67,0.000000,0.070191,14.267751
3,67,0.000000,0.085061,13.859365
4,67,0.000000,0.058715,13.809253
5,67,0.000000,0.105225,13.209314
6,67,0.000000,0.112717,14.267724
7,67,0.000000,0.094653,13.951385
8,67,0.000000,0.099326,14.170632
9,67,0.000000,0.063175,13.794752
10,67,0.000000,0.098855,13.465774
1,68,0.000000,-0.441363,4.694041
2,68,0.000000,-0.466531,4.805880
3,68,0.000000,-0.466531,5.004760
4,68,0.000000,-0.466531,5.004760
5,68,0.000000,-0.466531,4.874716
6,68,0.000000,-0.466531,4.874716
7,68,0.000000,-0.478992,4.937800
8,68,0.000000,-0.478992,4.521051
9,68,0.000000,-0.478992,4.614244
10,68,0.000000,-0.478992,5.009508
1,69,0.000000,-0.300081,5.510994
2,69,0.000000,-0.223843,5.544836
3,69,0.000000,-0.131978,5.721392
4,69,0.000000,-0.195522,5.721392
5,69,0.000000,-0.195522,5.721392
6,69,0.000000,-0.268737,5.721392
7,69,0.000000,-0.231274,5.706490
8,69,0.000000,-0.231274,5.417154
9,69,0.000000,-0.269451,5.211192
10,69,0.000000,-0.269451,5.211192
1,70,0.000000,-0.526717,5.486680
2,70,0.000000,-0.514462,5.218107
3,70,0.000000,-0.477272,5.426286
4,70,0.000000,-0.563094,5.473422
5,70,0.000000,-0.541016,5.550183
6,70,0.000000,-0.543315,5.550183
7,70,0.000000,-0.543315,5.550183
