"","datasize","algo","variable","iter"
"405",1e+05,"IEMseq","X4",334103
"406",105000,"IEMseq","X4",348254
"407",1000,"IEMseq","X5",5076
"408",2000,"IEMseq","X5",6284
"409",3000,"IEMseq","X5",9275
"410",4000,"IEMseq","X5",14158
"411",5000,"IEMseq","X5",15863
"412",6000,"IEMseq","X5",18653
"413",7000,"IEMseq","X5",22281
"414",8000,"IEMseq","X5",25866
"415",9000,"IEMseq","X5",31262
"416",10000,"IEMseq","X5",35177
"417",15000,"IEMseq","X5",54384
"418",20000,"IEMseq","X5",66682
"419",25000,"IEMseq","X5",82427
"420",30000,"IEMseq","X5",108817
"421",35000,"IEMseq","X5",129374
"422",40000,"IEMseq","X5",143535
"423",45000,"IEMseq","X5",155295
"424",50000,"IEMseq","X5",166506
"425",55000,"IEMseq","X5",186485
"426",60000,"IEMseq","X5",211246
"427",65000,"IEMseq","X5",229210
"428",70000,"IEMseq","X5",245861
"429",75000,"IEMseq","X5",266812
"430",80000,"IEMseq","X5",279641
"431",85000,"IEMseq","X5",293310
"432",90000,"IEMseq","X5",306020
"433",95000,"IEMseq","X5",324949
"434",1e+05,"IEMseq","X5",347789
"435",105000,"IEMseq","X5",364289
"436",1000,"OEMVR","X1",332
"437",2000,"OEMVR","X1",878
"438",3000,"OEMVR","X1",1991
"439",4000,"OEMVR","X1",2553
"440",5000,"OEMVR","X1",2696
"441",6000,"OEMVR","X1",1892
"442",7000,"OEMVR","X1",2734
"443",8000,"OEMVR","X1",1561
"444",9000,"OEMVR","X1",4653
"445",10000,"OEMVR","X1",3967
"446",15000,"OEMVR","X1",3645
"447",20000,"OEMVR","X1",4585
"448",25000,"OEMVR","X1",6070
"449",30000,"OEMVR","X1",5837
"450",35000,"OEMVR","X1",8741
"451",40000,"OEMVR","X1",8309
"452",45000,"OEMVR","X1",10121
"453",50000,"OEMVR","X1",10562
"454",55000,"OEMVR","X1",11230
"455",60000,"OEMVR","X1",12536
"456",65000,"OEMVR","X1",14762
"457",70000,"OEMVR","X1",10444
"458",75000,"OEMVR","X1",17315
"459",80000,"OEMVR","X1",14374
"460",85000,"OEMVR","X1",11478
"461",90000,"OEMVR","X1",12278
"462",95000,"OEMVR","X1",14477
"463",1e+05,"OEMVR","X1",16688
"464",105000,"OEMVR","X1",22891
"465",1000,"OEMVR","X2",541
"466",2000,"OEMVR","X2",1114
"467",3000,"OEMVR","X2",898
"468",4000,"OEMVR","X2",1733
"469",5000,"OEMVR","X2",1863
"470",6000,"OEMVR","X2",1708
"471",7000,"OEMVR","X2",2245
"472",8000,"OEMVR","X2",2810
"473",9000,"OEMVR","X2",2700
"474",10000,"OEMVR","X2",2144
"475",15000,"OEMVR","X2",2968
"476",20000,"OEMVR","X2",5095
"477",25000,"OEMVR","X2",8863
"478",30000,"OEMVR","X2",6186
"479",35000,"OEMVR","X2",9147
"480",40000,"OEMVR","X2",8496
"481",45000,"OEMVR","X2",10818
"482",50000,"OEMVR","X2",9896
"483",55000,"OEMVR","X2",13658
"484",60000,"OEMVR","X2",8857
"485",65000,"OEMVR","X2",13861
"486",70000,"OEMVR","X2",9562
"487",75000,"OEMVR","X2",10458
"488",80000,"OEMVR","X2",14241
"489",85000,"OEMVR","X2",12634
"490",90000,"OEMVR","X2",13870
"491",95000,"OEMVR","X2",14076
"492",1e+05,"OEMVR","X2",17398
"493",105000,"OEMVR","X2",15321
"494",1000,"OEMVR","X3",302
"495",2000,"OEMVR","X3",576
"496",3000,"OEMVR","X3",718
"497",4000,"OEMVR","X3",1304
"498",5000,"OEMVR","X3",1222
"499",6000,"OEMVR","X3",1869
"500",7000,"OEMVR","X3",2090
"501",8000,"OEMVR","X3",3410
"502",9000,"OEMVR","X3",4352
"503",10000,"OEMVR","X3",3783
"504",15000,"OEMVR","X3",6194
"505",20000,"OEMVR","X3",5665
"506",25000,"OEMVR","X3",5838
"507",30000,"OEMVR","X3",7406
"508",35000,"OEMVR","X3",7619
