rep,id,eta_p0,eta_alpha,eta_tau
3,42,0.000000,0.912607,-1.705468
4,42,0.000000,0.912607,-1.705468
5,42,0.000000,0.916690,-1.779177
6,42,0.000000,0.916690,-1.779177
7,42,0.000000,0.916690,-1.779177
8,42,0.000000,0.916690,-1.779177
9,42,0.000000,0.930464,-1.798123
10,42,0.000000,0.930464,-1.602842
1,43,0.000000,0.472506,0.414170
2,43,0.000000,0.455599,0.413893
3,43,0.000000,0.457332,0.440760
4,43,0.000000,0.457332,0.299790
5,43,0.000000,0.457332,0.299790
6,43,0.000000,0.452160,0.299790
7,43,0.000000,0.453204,0.261182
8,43,0.000000,0.428330,0.261182
9,43,0.000000,0.427161,0.249711
10,43,0.000000,0.441746,0.249711
1,44,0.000000,0.082876,-11.340599
2,44,0.000000,0.082876,-11.333811
3,44,0.000000,0.083217,-11.279769
4,44,0.000000,0.095271,-11.279769
5,44,0.000000,0.095271,-11.279769
6,44,0.000000,0.095271,-11.279769
7,44,0.000000,0.095271,-11.279769
8,44,0.000000,0.095271,-11.279769
9,44,0.000000,0.095271,-11.279769
10,44,0.000000,0.095367,-11.429394
1,45,0.000000,0.496469,-0.030378
2,45,0.000000,0.500849,0.043540
3,45,0.000000,0.500849,0.043540
4,45,0.000000,0.449863,-0.074339
5,45,0.000000,0.456982,-0.144354
6,45,0.000000,0.528651,0.167235
7,45,0.000000,0.528651,0.167235
8,45,0.000000,0.528726,0.183422
9,45,0.000000,0.528726,0.208984
10,45,0.000000,0.528726,-0.075569
1,46,0.000000,0.166253,-3.930627
2,46,0.000000,0.151764,-3.675387
3,46,0.000000,0.164576,-3.675387
4,46,0.000000,0.164576,-3.649643
5,46,0.000000,0.170681,-3.649643
6,46,0.000000,0.147031,-3.793225
7,46,0.000000,0.147031,-3.935018
8,46,0.000000,0.153486,-3.935018
9,46,0.000000,0.153486,-3.935018
10,46,0.000000,0.130274,-3.935018
1,47,0.000000,0.416733,-0.172284
2,47,0.000000,0.423430,-0.049900
3,47,0.000000,0.423430,-0.016950
4,47,0.000000,0.442236,0.031053
5,47,0.000000,0.442236,-0.074072
6,47,0.000000,0.452407,-0.074072
7,47,0.000000,0.456062,-0.015724
8,47,0.000000,0.431704,-0.076141
9,47,0.000000,0.431704,-0.076141
10,47,0.000000,0.431704,-0.076141
1,48,0.000000,-0.309140,3.874013
2,48,0.000000,-0.336500,3.664741
3,48,0.000000,-0.336500,3.664741
4,48,0.000000,-0.323445,3.664741
5,48,0.000000,-0.331817,3.879533
6,48,0.000000,-0.368610,3.468639
7,48,0.000000,-0.330597,3.468639
8,48,0.000000,-0.322305,3.493870
9,48,0.000000,-0.345364,3.493870
10,48,0.000000,-0.345364,3.492728
1,49,0.000000,0.448473,3.669028
2,49,0.000000,0.445281,3.870559
3,49,0.000000,0.446282,3.870559
4,49,0.000000,0.483429,3.705398
5,49,0.000000,0.483429,3.692974
6,49,0.000000,0.414559,3.854260
7,49,0.000000,0.372490,3.854260
8,49,0.000000,0.317322,3.854260
9,49,0.000000,0.366464,3.943612
10,49,0.000000,0.440257,3.883360
1,50,0.000000,0.566091,0.214195
2,50,0.000000,0.566091,0.143442
3,50,0.000000,0.571389,0.143442
4,50,0.000000,0.596289,0.372758
5,50,0.000000,0.598445,0.372758
6,50,0.000000,0.581504,0.372758
7,50,0.000000,0.585079,0.188540
8,50,0.000000,0.577018,0.492071
9,50,0.000000,0.577018,0.215939
10,50,0.000000,0.577018,0.215939
1,51,0.000000,0.127005,-2.664785
2,51,0.000000,0.127005,-2.664785
3,51,0.000000,0.133320,-2.647375
4,51,0.000000,0.123973,-2.741597
5,51,0.000000,0.123973,-2.741597
6,51,0.000000,0.123973,-2.741597
7,51,0.000000,0.123973,-2.741597
8,51,0.000000,0.123973,-2.741597
9,51,0.000000,0.131017,-2.558129
10,51,0.000000,0.131017,-2.558129
1,52,0.000000,0.426050,-4.534441
2,52,0.000000,0.426050,-4.508570
3,52,0.000000,0.426050,-4.508570
4,52,0.000000,0.394664,-4.665939
5,52,0.000000,0.394664,-4.665939
6,52,0.000000,0.394664,-4.665939
7,52,0.000000,0.402035,-4.603298
8,52,0.000000,0.396074,-4.603298
9,52,0.000000,0.420018,-4.622105
10,52,0.000000,0.421565,-4.586399
1,53,0.000000,0.358154,-4.844810
2,53,0.000000,0.322718,-4.844810
3,53,0.000000,0.322718,-4.846647
4,53,0.000000,0.399160,-4.360049
5,53,0.000000,0.416269,-4.323357
6,53,0.000000,0.416269,-4.323357
7,53,0.000000,0.480496,-4.190922
8,53,0.000000,0.419982,-4.366159
9,53,0.000000,0.419982,-4.495401
10,53,0.000000,0.389559,-4.633963
