iteration,completeLL,phase,estimate_a,estimate_alpha_pop,estimate_omega_alpha,estimate_omega_tau,estimate_p0_pop,estimate_tau_pop
149,-7211.1,1,0.0224671,0.0435996,0.514661,7.13821,0.407994,74.4905
150,-7276.02,1,0.0218982,0.0434799,0.516368,7.07276,0.408376,74.4878
151,-7384.04,1,0.0213437,0.0437576,0.527113,7.09862,0.408992,74.5108
152,-7460.55,1,0.0208033,0.0439585,0.530798,7.08256,0.409842,74.4881
153,-7491.87,1,0.0202765,0.043801,0.517358,7.13045,0.40948,74.4516
154,-7481.91,1,0.0197631,0.0437499,0.511795,7.15551,0.409348,74.4758
155,-7650.76,1,0.0192627,0.0435238,0.503513,7.16806,0.411198,74.55
156,-7724.62,1,0.018775,0.0435516,0.504436,7.13574,0.411272,74.5115
157,-7774.91,1,0.0182996,0.0437746,0.507943,7.11247,0.409737,74.4459
158,-7819.6,1,0.0178362,0.0440191,0.515102,7.13241,0.408576,74.4035
159,-7830.69,1,0.0173846,0.0441797,0.513925,7.09363,0.407492,74.4146
160,-7917.01,1,0.0169444,0.0441266,0.511421,7.09545,0.407466,74.3798
161,-8060.05,1,0.0165154,0.0437198,0.50697,7.07196,0.407442,74.4012
162,-8105.48,1,0.0160972,0.0438432,0.506006,7.05155,0.406832,74.3576
163,-8120.78,1,0.0156896,0.0436856,0.514268,7.11596,0.406469,74.3625
164,-8203.92,1,0.0152923,0.0440232,0.517771,7.06334,0.407357,74.3345
165,-8212.52,1,0.0149051,0.0438092,0.505254,7.04111,0.407677,74.3071
166,-8291.67,1,0.0145277,0.0437853,0.50672,7.08707,0.40786,74.3406
167,-8333.12,1,0.0141599,0.0438473,0.505771,7.11446,0.40734,74.3804
168,-8429,1,0.0138013,0.0438779,0.506088,7.06894,0.407628,74.3215
169,-8507.3,1,0.0134519,0.0437326,0.503706,7.07867,0.406837,74.3712
170,-8553.01,1,0.0131113,0.0437613,0.497668,7.1094,0.407067,74.3955
171,-8610.45,1,0.0127793,0.0435611,0.504477,7.18514,0.40673,74.4179
172,-8656.03,1,0.0124557,0.0435934,0.505701,7.20999,0.407242,74.4444
173,-8688.9,1,0.0121403,0.0434655,0.500999,7.28312,0.40825,74.5271
174,-8664.9,1,0.0118329,0.043444,0.505565,7.36303,0.408845,74.5582
175,-8777.49,1,0.0115333,0.0433273,0.503921,7.33383,0.408598,74.5478
176,-8785.1,1,0.0112413,0.0433909,0.504986,7.27792,0.408173,74.5221
177,-8881.21,1,0.0109566,0.0432643,0.507242,7.26837,0.408458,74.5091
178,-8861.89,1,0.0106792,0.0433596,0.510269,7.3102,0.408436,74.5145
179,-8863.42,1,0.010556,0.04356,0.514107,7.30021,0.408289,74.5011
180,-8830.97,1,0.0106659,0.0435797,0.512647,7.26616,0.408089,74.473
181,-8879.43,1,0.0105299,0.0436721,0.509002,7.26572,0.408091,74.4726
182,-8907.92,1,0.0104232,0.043647,0.514467,7.29127,0.408155,74.4867
183,-8978.99,1,0.0102083,0.0434306,0.515604,7.30024,0.406791,74.4705
184,-8984.73,1,0.0101972,0.0433585,0.515184,7.27759,0.406722,74.446
185,-8977.87,1,0.0102076,0.0435791,0.515896,7.31596,0.406176,74.4624
186,-8997.77,1,0.0101591,0.0435143,0.5141,7.29362,0.40663,74.4622
187,-9013.53,1,0.0101038,0.0435231,0.517761,7.29017,0.406903,74.4638
188,-8983.8,1,0.0101894,0.0433344,0.516585,7.31074,0.405957,74.4434
189,-9013.32,1,0.0101281,0.0432025,0.509207,7.29208,0.406247,74.4687
190,-9025.91,1,0.0100996,0.0430333,0.505733,7.30207,0.405682,74.4628
191,-9059.5,1,0.00999196,0.0430647,0.509598,7.30287,0.406438,74.4532
192,-9095.73,1,0.00988526,0.0431746,0.509409,7.32432,0.406265,74.4823
193,-9099.27,1,0.00985772,0.0432466,0.513631,7.35488,0.405757,74.4933
194,-9071.85,1,0.00994185,0.043239,0.510852,7.36132,0.406015,74.4878
195,-9043.41,1,0.0100234,0.0431508,0.508336,7.39633,0.406264,74.5072
196,-9066.16,1,0.00995566,0.0432637,0.514047,7.32789,0.406282,74.4628
197,-9051.88,1,0.0100012,0.0434737,0.513189,7.31597,0.406432,74.4811
198,-9069.9,1,0.00995677,0.0432013,0.513015,7.28217,0.406221,74.474
199,-8990.92,1,0.0101766,0.0432601,0.515617,7.28421,0.406306,74.4528
200,-8961.38,1,0.0102785,0.0432103,0.510796,7.27611,0.406542,74.4611
201,-8924.22,1,0.0103698,0.043206,0.514735,7.31139,0.406344,74.5025
202,-8926.6,1,0.0103612,0.043233,0.515538,7.30748,0.40656,74.4955
203,-8989.02,1,0.010173,0.0431552,0.516127,7.32308,0.406016,74.5005
204,-8986.05,1,0.0101741,0.0431803,0.515297,7.37302,0.406084,74.5166
205,-9047.37,1,0.00999939,0.0431133,0.512477,7.40163,0.405131,74.522
206,-9072.81,1,0.00993494,0.0431404,0.51315,7.34986,0.405441,74.5095
207,-9003.41,1,0.0101372,0.043176,0.510306,7.37581,0.405768,74.5304
208,-9026.76,1,0.0100622,0.0431487,0.51141,7.39817,0.40578,74.5355
209,-9028.15,1,0.0100475,0.0433065,0.517113,7.37155,0.405828,74.5358
210,-9081.11,1,0.00990784,0.0433934,0.515119,7.33999,0.406185,74.5149
211,-9071.76,1,0.00994725,0.0433047,0.509129,7.35954,0.405916,74.5017
212,-9079.99,1,0.00990837,0.0432759,0.508479,7.44981,0.405994,74.5249
213,-9116.75,1,0.00979118,0.0432365,0.510186,7.49668,0.405891,74.5736
214,-9092.88,1,0.00985877,0.0432789,0.512934,7.45407,0.405325,74.5519
215,-9015.43,1,0.0100977,0.0434613,0.509915,7.40576,0.405311,74.516
216,-9029.95,1,0.0100346,0.0435019,0.515515,7.43387,0.405437,74.5423
217,-9027.8,1,0.0100624,0.0433229,0.51312,7.35715,0.40528,74.453
218,-9098.06,1,0.00986255,0.0432754,0.512166,7.36848,0.405498,74.4666
219,-9029.24,1,0.0100514,0.0432523,0.512807,7.39703,0.405188,74.4798
