id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM,eta_p0_mean,eta_alpha_mean,eta_tau_mean,eta_p0_sd,eta_alpha_sd,eta_tau_sd
222,0.000000,0.619947,7.861466,0.000000,0.550245,8.238104,0.000000,0.221424,1.051929
223,0.000000,-0.670642,-0.405886,0.000000,-0.667130,-0.348024,0.000000,0.021511,0.241442
224,0.000000,-1.079440,10.864586,0.000000,-0.994843,9.192845,0.000000,0.092573,1.830689
225,0.000000,-1.206330,2.105136,0.000000,-1.210343,2.084981,0.000000,0.046085,0.427071
226,0.000000,0.350713,-6.422949,0.000000,0.353730,-6.386286,0.000000,0.027499,0.149049
227,0.000000,-0.689944,0.560276,0.000000,-0.693794,0.530202,0.000000,0.041814,0.203304
228,0.000000,-0.633639,0.428022,0.000000,-0.633724,0.410859,0.000000,0.040618,0.187619
229,0.000000,-0.530747,-5.382846,0.000000,-0.528127,-5.286606,0.000000,0.019430,0.262065
230,0.000000,0.250603,11.355087,0.000000,0.201871,11.479909,0.000000,0.095749,0.285778
231,0.000000,0.040920,-1.050639,0.000000,0.043197,-1.019858,0.000000,0.038064,0.134344
232,0.000000,0.489333,-0.005837,0.000000,0.491370,0.034206,0.000000,0.030946,0.144675
233,0.000000,0.313860,-6.445306,0.000000,0.311129,-6.419115,0.000000,0.024602,0.111324
234,0.000000,-0.072039,-7.548362,0.000000,-0.075360,-7.550061,0.000000,0.024378,0.169095
235,0.000000,-0.496296,-7.646007,0.000000,-0.498451,-7.633389,0.000000,0.022467,0.332409
236,0.000000,0.020483,1.427664,0.000000,0.025199,1.506363,0.000000,0.025483,0.215751
237,0.000000,0.351981,-10.214111,0.000000,0.351874,-10.177029,0.000000,0.018215,0.140675
238,0.000000,0.084019,5.136785,0.000000,0.091046,5.164379,0.000000,0.060128,0.239292
239,0.000000,-0.143681,2.991280,0.000000,-0.146657,2.994278,0.000000,0.024283,0.220662
240,0.000000,-0.668978,-1.579155,0.000000,-0.684445,-1.597710,0.000000,0.055443,0.209999
241,0.000000,-0.293417,-11.001580,0.000000,-0.293538,-10.935751,0.000000,0.030311,0.328261
242,0.000000,-0.189605,0.887949,0.000000,-0.196064,0.867590,0.000000,0.019879,0.159673
243,0.000000,-0.465299,8.755603,0.000000,-0.466259,8.773659,0.000000,0.065719,0.282568
244,0.000000,-0.577650,0.664972,0.000000,-0.575153,0.743553,0.000000,0.026963,0.218631
245,0.000000,-0.650372,-8.911024,0.000000,-0.652834,-8.862793,0.000000,0.021461,0.300231
246,0.000000,0.382217,-1.688280,0.000000,0.379995,-1.671515,0.000000,0.024243,0.108742
247,0.000000,-0.867510,0.651460,0.000000,-0.866376,0.690404,0.000000,0.026402,0.265582
248,0.000000,-0.134234,-1.128279,0.000000,-0.133992,-1.085956,0.000000,0.027943,0.133813
249,0.000000,0.213268,-9.896302,0.000000,0.212461,-9.851633,0.000000,0.023945,0.215330
250,0.000000,0.251174,-9.104577,0.000000,0.252603,-9.056565,0.000000,0.021023,0.119557
