rep,id,p0,alpha,tau
5,31,0.186457,0.042308,61.994413
6,31,0.186457,0.042308,61.994413
7,31,0.186457,0.042308,61.983471
8,31,0.186457,0.043805,62.060323
9,31,0.186457,0.043805,62.199592
10,31,0.186457,0.045600,62.199592
1,32,0.186457,0.037958,70.270950
2,32,0.186457,0.037958,70.259791
3,32,0.186457,0.041459,69.922166
4,32,0.186457,0.041459,70.194722
5,32,0.186457,0.040594,70.228762
6,32,0.186457,0.040594,70.222358
7,32,0.186457,0.040594,70.222358
8,32,0.186457,0.040594,70.222358
9,32,0.186457,0.039072,70.153423
10,32,0.186457,0.038243,69.870614
1,33,0.186457,0.020819,68.867457
2,33,0.186457,0.021531,68.905472
3,33,0.186457,0.022863,68.992073
4,33,0.186457,0.020124,68.739112
5,33,0.186457,0.020958,68.705713
6,33,0.186457,0.020051,68.959596
7,33,0.186457,0.020051,68.959596
8,33,0.186457,0.022897,69.132180
9,33,0.186457,0.021944,69.215575
10,33,0.186457,0.023488,69.298631
1,34,0.187385,0.031241,63.666571
2,34,0.187385,0.031241,63.666571
3,34,0.187385,0.031241,63.666571
4,34,0.187385,0.031241,63.663170
5,34,0.187385,0.031241,63.663170
6,34,0.187385,0.030800,63.663170
7,34,0.187385,0.030693,63.620447
8,34,0.187385,0.030693,63.620447
9,34,0.187385,0.030693,63.620447
10,34,0.187385,0.031307,63.620447
1,35,0.185886,0.030134,70.504571
2,35,0.185886,0.030134,70.504571
3,35,0.185886,0.030464,70.541772
4,35,0.185886,0.030464,70.346359
5,35,0.185886,0.030464,70.591888
6,35,0.185886,0.029208,70.259802
7,35,0.185886,0.030879,70.514963
8,35,0.185886,0.031358,70.514963
9,35,0.185886,0.031358,70.514963
10,35,0.185886,0.031656,70.526041
1,36,0.186457,0.025737,64.654509
2,36,0.186457,0.026521,64.654509
3,36,0.186457,0.025678,64.683809
4,36,0.186457,0.025678,64.683809
5,36,0.186457,0.025072,64.550967
6,36,0.186457,0.024982,64.550967
7,36,0.186457,0.025959,64.305262
8,36,0.186457,0.025461,64.747018
9,36,0.186457,0.024733,64.755597
10,36,0.186457,0.025813,64.480705
1,37,0.185869,0.019780,59.386179
2,37,0.185869,0.019851,59.504292
3,37,0.185869,0.019851,59.504292
4,37,0.185869,0.019851,59.504292
5,37,0.185869,0.019136,59.197347
6,37,0.185869,0.019136,59.197347
7,37,0.185869,0.019136,59.197347
8,37,0.185869,0.019136,59.197347
9,37,0.185869,0.019136,59.208085
10,37,0.185869,0.019399,59.433309
1,38,0.186457,0.054027,65.590476
2,38,0.186457,0.048380,65.280818
3,38,0.186457,0.049068,65.066618
4,38,0.186457,0.048588,64.961546
5,38,0.186457,0.049303,65.444432
6,38,0.186457,0.049303,65.190284
7,38,0.186457,0.050367,65.190284
8,38,0.186457,0.048939,65.383873
9,38,0.186457,0.049430,65.005250
10,38,0.186457,0.050306,65.345478
1,39,0.186457,0.023937,68.712656
2,39,0.186457,0.023595,68.315288
3,39,0.186457,0.023865,68.949939
4,39,0.186457,0.024575,68.513624
5,39,0.186457,0.025148,69.384933
6,39,0.186457,0.025733,68.833150
7,39,0.186457,0.024402,68.833150
8,39,0.186457,0.024241,68.383396
9,39,0.186457,0.025110,68.955543
10,39,0.186457,0.025110,68.955543
1,40,0.186457,0.049447,63.190819
2,40,0.186457,0.049447,63.190378
3,40,0.186457,0.049447,63.030749
4,40,0.186457,0.049055,63.165328
5,40,0.186457,0.049055,63.165328
6,40,0.186457,0.050862,63.183602
7,40,0.186457,0.050862,63.183602
8,40,0.186457,0.050862,63.371674
9,40,0.186457,0.050862,63.371674
10,40,0.186457,0.050463,63.079426
1,41,0.186457,0.019810,65.507216
2,41,0.186457,0.020494,65.216914
3,41,0.186457,0.019999,65.216914
4,41,0.186457,0.018518,64.912889
5,41,0.186457,0.019093,64.832866
6,41,0.186457,0.019339,64.685078
7,41,0.186457,0.020275,65.404686
8,41,0.186457,0.019835,65.387266
9,41,0.186457,0.019689,65.192906
10,41,0.186457,0.019570,65.192906
1,42,0.185749,0.068651,68.045178
2,42,0.185749,0.068296,67.986051
3,42,0.185749,0.068564,68.061661
4,42,0.185749,0.068411,68.092350
5,42,0.185749,0.068940,68.092350
6,42,0.185749,0.068940,68.092350
7,42,0.185749,0.068940,68.092350
8,42,0.185749,0.068940,68.157574
9,42,0.185749,0.068940,68.157574
10,42,0.185749,0.067811,67.954215
1,43,0.186138,0.042204,69.292056
2,43,0.186138,0.042179,69.387582
3,43,0.186138,0.041359,69.224587
4,43,0.186138,0.040639,69.159890
5,43,0.186138,0.040639,69.125183
6,43,0.186138,0.040559,68.923107
7,43,0.186138,0.040019,69.274652
8,43,0.186138,0.040019,69.274652
9,43,0.186138,0.040447,69.274652
10,43,0.186138,0.039733,69.181941
1,44,0.186457,0.030280,57.077527
2,44,0.186457,0.029951,57.063402
3,44,0.186457,0.030783,57.255651
4,44,0.186457,0.030783,57.255651
5,44,0.186457,0.030783,57.255651
6,44,0.186457,0.030783,57.255651
7,44,0.186457,0.029233,56.824990
8,44,0.186457,0.029233,56.824990
9,44,0.186457,0.029233,56.794177
10,44,0.186457,0.029233,56.750025
1,45,0.186457,0.042361,68.787169
2,45,0.186457,0.042361,68.787169
3,45,0.186457,0.042409,68.883544
4,45,0.186457,0.043191,68.909342
5,45,0.186457,0.043238,68.909342
6,45,0.186457,0.043238,68.909342
7,45,0.186457,0.043238,68.909342
8,45,0.186457,0.043189,68.909342
9,45,0.186457,0.043994,69.162229
10,45,0.186457,0.043596,69.120277
1,46,0.185832,0.032052,64.737980
2,46,0.185832,0.032052,64.737980
3,46,0.185832,0.032618,64.811080
4,46,0.185832,0.032069,64.785992
5,46,0.185832,0.031102,64.450726
6,46,0.185832,0.031651,64.706929
7,46,0.185832,0.032149,64.711946
8,46,0.185832,0.032149,64.711946
9,46,0.185832,0.032149,64.711946
10,46,0.185832,0.032149,64.711946
1,47,0.186431,0.042085,68.968399
2,47,0.186431,0.041992,68.968399
3,47,0.186431,0.041992,68.968399
4,47,0.186431,0.041992,68.968399
5,47,0.186431,0.041992,68.968399
6,47,0.186431,0.041992,68.860235
7,47,0.186431,0.041992,68.860235
8,47,0.186431,0.041992,68.860235
9,47,0.186431,0.041178,68.949756
10,47,0.186431,0.043044,69.059936
1,48,0.186457,0.019193,70.519401
2,48,0.186457,0.018632,70.283083
3,48,0.186457,0.019116,70.550086
4,48,0.186457,0.020468,70.866139
5,48,0.186457,0.020468,70.866139
6,48,0.186457,0.020207,70.835965
7,48,0.186457,0.019610,70.692594
8,48,0.186457,0.019754,70.507769
9,48,0.186457,0.019574,70.119788
10,48,0.186457,0.019574,70.472254
1,49,0.186457,0.041854,72.536077
2,49,0.186457,0.041548,72.872887
3,49,0.186457,0.041548,72.872887
4,49,0.186457,0.043698,73.012068
5,49,0.186457,0.043698,73.012068
6,49,0.186457,0.047701,73.012068
7,49,0.186457,0.040703,72.834475
8,49,0.186457,0.039511,72.821040
9,49,0.186457,0.039507,72.764743
10,49,0.186457,0.042165,72.673853
1,50,0.186457,0.048724,69.645090
2,50,0.186457,0.049408,69.645090
3,50,0.186457,0.048940,69.645090
4,50,0.186457,0.048940,69.645090
5,50,0.186457,0.049116,69.452630
6,50,0.186457,0.049116,69.604201
7,50,0.186457,0.048166,69.400016
8,50,0.186457,0.047995,69.473885
9,50,0.186457,0.047995,69.485943
10,50,0.186457,0.048707,69.602712
1,51,0.186051,0.029082,65.262929
2,51,0.186051,0.029082,65.288902
3,51,0.186457,0.029174,65.143004
4,51,0.186457,0.029174,65.143004
5,51,0.186457,0.030021,65.643076
6,51,0.186457,0.030474,65.541842
7,51,0.186457,0.031514,65.737270
8,51,0.186457,0.031955,65.965789
9,51,0.186457,0.031334,65.679090
10,51,0.186457,0.030249,65.598616
1,52,0.186457,0.041835,64.501998
2,52,0.186457,0.041835,64.501998
3,52,0.186457,0.041835,64.501998
4,52,0.186457,0.041835,64.501998
5,52,0.186457,0.041955,64.501998
6,52,0.186457,0.041955,64.501998
7,52,0.186457,0.041715,64.549468
8,52,0.186457,0.041715,64.549468
9,52,0.186457,0.041715,64.549468
10,52,0.186457,0.041492,64.549468
1,53,0.186457,0.033897,62.920899
2,53,0.186457,0.038230,63.855096
3,53,0.186457,0.038590,64.259832
4,53,0.186457,0.038326,64.046335
5,53,0.186457,0.038089,63.920176
6,53,0.186457,0.037434,63.724697
7,53,0.186457,0.037680,64.106752
8,53,0.186457,0.039218,64.251204
9,53,0.186457,0.038884,64.251204
10,53,0.186457,0.039632,64.266168
1,54,0.186457,0.026341,70.784747
2,54,0.186457,0.027496,70.784747
3,54,0.186457,0.027000,70.945767
4,54,0.186457,0.026875,70.554660
5,54,0.186457,0.026211,70.408049
6,54,0.186457,0.025403,70.102761
7,54,0.186457,0.025403,70.102761
8,54,0.186457,0.026554,70.700127
9,54,0.186457,0.025124,70.139967
10,54,0.186457,0.025124,70.210164
1,55,0.186511,0.050792,61.911494
2,55,0.186511,0.050792,61.911494
3,55,0.186511,0.052415,61.911494
4,55,0.186511,0.052415,61.911494
5,55,0.186511,0.052415,61.998261
6,55,0.186511,0.049105,61.629334
7,55,0.186511,0.049362,61.646783
8,55,0.186511,0.049362,61.646783
9,55,0.186511,0.049362,61.646783
10,55,0.186511,0.048662,61.606847
1,56,0.186457,0.045711,70.328415
2,56,0.186457,0.042767,69.524348
3,56,0.186457,0.045983,70.017502
4,56,0.186457,0.045621,70.065796
5,56,0.186457,0.045621,70.065796
6,56,0.186457,0.046754,70.432324
7,56,0.186457,0.048024,70.129599
8,56,0.186457,0.045734,69.885729
9,56,0.186457,0.045734,69.753969
10,56,0.186457,0.045233,69.371211
1,57,0.186457,0.029332,67.856667
2,57,0.186457,0.029332,67.982652
3,57,0.186457,0.029324,67.929033
4,57,0.186457,0.028924,67.593322
5,57,0.186457,0.027433,67.441989
6,57,0.186457,0.027550,67.408159
7,57,0.186457,0.027550,67.340679
8,57,0.186457,0.027742,67.545710
9,57,0.186457,0.028877,67.743872
10,57,0.186457,0.028877,67.731391
1,58,0.185812,0.015323,55.878650
2,58,0.185812,0.015001,55.913796
3,58,0.185812,0.015589,55.913416
4,58,0.185812,0.015334,55.850862
5,58,0.186457,0.015414,55.936711
6,58,0.186457,0.015777,55.970831
7,58,0.186457,0.015603,56.624134
8,58,0.186457,0.017269,56.937375
9,58,0.186457,0.016881,56.937375
10,58,0.186457,0.016461,56.818103
1,59,0.185906,0.032918,75.219914
2,59,0.185906,0.031682,75.219914
3,59,0.185906,0.030879,74.941132
4,59,0.185906,0.030176,74.468427
5,59,0.185906,0.030073,74.712225
6,59,0.185906,0.030852,74.902630
7,59,0.185906,0.030180,74.839221
8,59,0.185906,0.030180,74.839221
9,59,0.185906,0.030439,75.102226
10,59,0.185906,0.031369,75.109250
1,60,0.186457,0.052154,70.675549
2,60,0.186457,0.054076,70.450306
3,60,0.186457,0.050672,70.383168
4,60,0.186457,0.050672,70.383168
5,60,0.186457,0.050672,70.498886
6,60,0.186457,0.050672,70.498886
7,60,0.186457,0.049664,70.570541
8,60,0.186457,0.053062,70.796206
9,60,0.186457,0.050284,70.599037
10,60,0.186457,0.050176,70.599037
1,61,0.186457,0.048152,62.147762
2,61,0.186457,0.046575,61.894423
3,61,0.186457,0.048189,62.126471
4,61,0.186457,0.048189,62.126471
5,61,0.186457,0.048189,62.126471
6,61,0.186457,0.048189,62.126471
7,61,0.186457,0.048189,62.126471
8,61,0.186457,0.048189,62.126471
9,61,0.186457,0.046828,62.091926
10,61,0.186457,0.047360,62.091926
1,62,0.186457,0.060034,80.371363
2,62,0.186457,0.062538,80.509984
3,62,0.186457,0.062538,80.509984
4,62,0.186457,0.062538,80.509984
5,62,0.186457,0.062538,80.447520
6,62,0.186457,0.061296,80.499090
7,62,0.186457,0.061296,80.464194
8,62,0.186457,0.063421,80.464194
9,62,0.186457,0.062418,80.464194
10,62,0.186457,0.062418,80.464194
1,63,0.186833,0.014322,59.296625
2,63,0.186833,0.014322,59.296625
3,63,0.186833,0.014322,59.296625
4,63,0.186833,0.013993,59.022100
5,63,0.186833,0.014301,59.148237
6,63,0.186833,0.014301,59.379571
7,63,0.186833,0.014326,59.214901
8,63,0.186833,0.014326,59.214901
9,63,0.186833,0.014326,59.214901
10,63,0.186833,0.014932,59.830404
1,64,0.186457,0.028527,69.333755
2,64,0.186457,0.029206,69.417274
3,64,0.186457,0.029206,69.417274
4,64,0.186457,0.029569,69.635685
5,64,0.186457,0.028890,69.635685
6,64,0.186457,0.028334,69.660064
7,64,0.186457,0.028334,69.348940
8,64,0.186457,0.028968,69.304874
9,64,0.186457,0.027912,69.304027
10,64,0.186457,0.027912,69.072169
1,65,0.186457,0.027313,76.252520
2,65,0.186457,0.027645,76.288253
3,65,0.186457,0.028319,76.288253
4,65,0.186457,0.028319,76.288253
5,65,0.186457,0.029244,76.550086
6,65,0.186457,0.028767,76.609967
7,65,0.186457,0.028767,76.509990
8,65,0.186457,0.028767,76.509990
9,65,0.186457,0.028767,76.509990
10,65,0.186457,0.028767,76.465749
1,66,0.186457,0.049716,69.649349
2,66,0.186457,0.049716,69.649349
3,66,0.186457,0.049716,69.649349
4,66,0.186457,0.049716,69.649349
5,66,0.186457,0.049716,69.649349
6,66,0.186457,0.049716,69.649349
7,66,0.186457,0.050072,69.732813
8,66,0.186457,0.049973,69.732813
9,66,0.186457,0.049579,69.652595
10,66,0.186457,0.049579,69.652595
1,67,0.186457,0.019345,86.942127
2,67,0.186457,0.020216,86.407021
3,67,0.186457,0.017382,86.508100
4,67,0.186457,0.017298,86.692756
5,67,0.186457,0.020148,86.385251
6,67,0.186457,0.020065,86.777007
7,67,0.186457,0.019070,86.701127
