id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
201,0.186550,0.014699,74.897741,0.186453,0.014679,74.871303,0.000000,0.000563,0.330896
202,0.186283,0.010383,63.286224,0.186461,0.010393,63.322119,0.000000,0.000372,0.535770
203,0.186345,0.017238,60.518164,0.186157,0.017149,60.460225,0.000000,0.000406,0.262033
204,0.186440,0.018455,60.346887,0.187197,0.018595,60.431198,0.000000,0.000592,0.320855
205,0.186447,0.073363,69.199903,0.186216,0.072988,69.187462,0.000000,0.002546,0.103860
206,0.186513,0.038854,76.189369,0.186537,0.038646,76.132253,0.000000,0.001363,0.238910
207,0.186486,0.020479,71.316185,0.186500,0.020606,71.368965,0.000000,0.000836,0.308838
208,0.186430,0.034326,77.174553,0.186552,0.033480,77.331456,0.000000,0.005317,0.881189
209,0.186424,0.037719,73.190214,0.186291,0.037612,73.184127,0.000000,0.001187,0.331452
210,0.186530,0.013113,58.488079,0.186320,0.013196,58.603284,0.000000,0.000430,0.463260
211,0.186433,0.015298,65.295962,0.186558,0.015215,65.206903,0.000000,0.000459,0.476924
212,0.186383,0.041508,60.947165,0.186501,0.041761,61.020990,0.000000,0.001773,0.298805
213,0.186472,0.024484,74.401916,0.186472,0.024534,74.436666,0.000000,0.000652,0.256635
214,0.186508,0.048681,76.812153,0.186529,0.049137,76.848820,0.000000,0.001774,0.213007
215,0.186323,0.055649,61.119632,0.186899,0.055402,61.099173,0.000000,0.001725,0.131892
216,0.186509,0.035914,70.128135,0.186211,0.036221,70.140467,0.000000,0.002135,0.166919
217,0.186411,0.054885,65.965153,0.186405,0.053197,65.654448,0.000000,0.006137,1.023716
218,0.186472,0.028469,68.963829,0.186281,0.028378,68.926398,0.000000,0.000535,0.191241
219,0.186361,0.019816,73.531426,0.186464,0.020199,73.447242,0.000000,0.002305,0.498563
220,0.186426,0.036219,71.678094,0.186454,0.036087,71.645818,0.000000,0.001099,0.194113
221,0.186456,0.015076,63.459880,0.185926,0.015112,63.478634,0.000000,0.000414,0.393441
222,0.186453,0.047739,77.462620,0.186466,0.045479,77.662051,0.000000,0.008390,0.679288
223,0.186442,0.013855,64.619271,0.186590,0.013845,64.642394,0.000000,0.000318,0.301508
224,0.186319,0.009107,72.905824,0.186457,0.009248,72.745158,0.000000,0.001073,1.460074
225,0.186534,0.008122,62.759930,0.186669,0.008093,62.748270,0.000000,0.000424,0.711426
226,0.186495,0.038894,62.653262,0.186504,0.038437,62.566839,0.000000,0.000984,0.186815
227,0.186383,0.013446,65.319553,0.186054,0.013565,65.370093,0.000000,0.000573,0.319295
228,0.186535,0.014331,65.632601,0.186460,0.014332,65.656778,0.000000,0.000537,0.315893
229,0.186540,0.015946,60.484666,0.186067,0.015843,60.402420,0.000000,0.000361,0.390017
230,0.186529,0.034225,80.086931,0.186700,0.033921,80.064995,0.000000,0.003714,0.193236
231,0.186461,0.028067,67.086469,0.186459,0.027985,67.081034,0.000000,0.001038,0.180955
232,0.186275,0.043885,69.246817,0.186354,0.044595,69.338746,0.000000,0.001340,0.198190
233,0.186522,0.037028,62.461216,0.186374,0.036941,62.451455,0.000000,0.000762,0.130623
234,0.186429,0.024979,60.177158,0.186532,0.024869,60.157776,0.000000,0.000579,0.226201
235,0.186440,0.016444,58.363262,0.186372,0.016377,58.286276,0.000000,0.000340,0.434845
236,0.186473,0.027451,69.490684,0.186128,0.027576,69.541083,0.000000,0.000713,0.284559
237,0.186532,0.038506,58.801174,0.186447,0.038433,58.773478,0.000000,0.000813,0.182908
238,0.186319,0.029600,73.468935,0.186378,0.029573,73.465581,0.000000,0.001671,0.190035
239,0.186315,0.023354,70.498794,0.186206,0.023274,70.465922,0.000000,0.000560,0.281016
240,0.186335,0.014116,63.570349,0.186476,0.013491,63.194855,0.000000,0.000837,0.583724
241,0.186517,0.020359,56.128156,0.186449,0.020331,56.105617,0.000000,0.000578,0.424281
242,0.186485,0.021953,68.051457,0.186574,0.022248,68.217200,0.000000,0.000474,0.258038
243,0.186433,0.016920,74.899052,0.186483,0.016971,74.909620,0.000000,0.001180,0.259939
244,0.186432,0.015231,66.283010,0.186621,0.015336,66.384908,0.000000,0.000488,0.350664
245,0.186443,0.014132,56.305935,0.186381,0.014071,56.219582,0.000000,0.000313,0.380942
246,0.186442,0.039350,67.310945,0.186523,0.039259,67.299378,0.000000,0.000852,0.139709
247,0.186416,0.011413,64.391661,0.186290,0.011332,64.309158,0.000000,0.000283,0.394819
248,0.186422,0.023575,66.442819,0.186193,0.023512,66.427981,0.000000,0.000568,0.176322
249,0.186406,0.033762,58.854689,0.186131,0.033406,58.757717,0.000000,0.000913,0.299887
250,0.186636,0.034958,59.701738,0.186284,0.035003,59.704997,0.000000,0.000899,0.209298
