rep,id,eta_p0,eta_alpha,eta_tau
2,39,0.000000,-0.064397,1.383741
3,39,0.000000,-0.063860,1.322439
4,39,0.000000,-0.065181,1.322439
5,39,0.000000,-0.104189,1.322439
6,39,0.000000,-0.104189,1.210679
7,39,0.000000,-0.104189,1.096527
8,39,0.000000,-0.043222,1.985250
9,39,0.000000,-0.086347,1.922103
10,39,0.000000,-0.060370,1.486755
1,40,0.000000,0.612999,-3.963678
2,40,0.000000,0.594191,-4.007087
3,40,0.000000,0.594191,-3.865398
4,40,0.000000,0.594191,-3.865398
5,40,0.000000,0.621802,-3.865398
6,40,0.000000,0.621802,-3.865398
7,40,0.000000,0.587853,-3.882584
8,40,0.000000,0.586821,-3.986715
9,40,0.000000,0.586821,-3.986715
10,40,0.000000,0.601268,-3.834314
1,41,0.000000,-0.367340,-2.836057
2,41,0.000000,-0.367340,-2.813691
3,41,0.000000,-0.422396,-3.239899
4,41,0.000000,-0.374470,-2.913680
5,41,0.000000,-0.368932,-3.114419
6,41,0.000000,-0.370318,-3.114419
7,41,0.000000,-0.370318,-2.664735
8,41,0.000000,-0.346182,-2.754909
9,41,0.000000,-0.355661,-2.754909
10,41,0.000000,-0.344833,-2.522691
1,42,0.000000,0.896497,1.154239
2,42,0.000000,0.895173,1.021226
3,42,0.000000,0.895173,1.021226
4,42,0.000000,0.918930,1.151950
5,42,0.000000,0.900663,1.098425
6,42,0.000000,0.911421,1.100926
7,42,0.000000,0.911421,1.100926
8,42,0.000000,0.927944,1.100926
9,42,0.000000,0.927944,1.100926
10,42,0.000000,0.927944,1.100926
1,43,0.000000,0.494841,2.512701
2,43,0.000000,0.494841,2.512701
3,43,0.000000,0.496296,2.535943
4,43,0.000000,0.496296,2.427479
5,43,0.000000,0.496296,2.480573
6,43,0.000000,0.447438,2.487687
7,43,0.000000,0.447438,2.277351
8,43,0.000000,0.447438,2.297451
9,43,0.000000,0.418761,2.285505
10,43,0.000000,0.462425,2.285505
1,44,0.000000,0.131021,-9.899057
2,44,0.000000,0.131021,-9.899057
3,44,0.000000,0.131021,-9.899057
4,44,0.000000,0.131021,-9.899057
5,44,0.000000,0.120439,-10.113145
6,44,0.000000,0.120439,-10.113145
7,44,0.000000,0.120439,-10.113145
8,44,0.000000,0.120439,-10.113145
9,44,0.000000,0.120439,-10.115400
10,44,0.000000,0.132096,-10.020942
1,45,0.000000,0.460187,1.965801
2,45,0.000000,0.460187,1.965801
3,45,0.000000,0.478641,1.965801
4,45,0.000000,0.455846,1.740142
5,45,0.000000,0.455846,1.972578
6,45,0.000000,0.496053,2.138141
7,45,0.000000,0.496053,2.138141
8,45,0.000000,0.435987,1.798737
9,45,0.000000,0.435987,1.798737
10,45,0.000000,0.435987,1.662227
1,46,0.000000,0.171693,-2.675551
2,46,0.000000,0.153339,-2.956221
3,46,0.000000,0.181579,-2.451024
4,46,0.000000,0.164483,-2.451024
5,46,0.000000,0.164483,-2.451024
6,46,0.000000,0.170174,-2.661261
7,46,0.000000,0.159409,-2.661261
