rep,id,p0,alpha,tau
7,54,0.164594,0.023504,69.245183
8,54,0.164594,0.023558,69.746380
9,54,0.164594,0.024202,69.767362
10,54,0.164594,0.024202,70.023006
1,55,0.164594,0.044888,61.183810
2,55,0.164594,0.044888,61.183810
3,55,0.164594,0.044888,61.183810
4,55,0.164594,0.044888,61.183810
5,55,0.164594,0.044888,61.183810
6,55,0.164594,0.044888,61.176776
7,55,0.164594,0.044888,61.288818
8,55,0.164594,0.046704,61.309038
9,55,0.164594,0.046704,61.481142
10,55,0.164594,0.047259,61.481142
1,56,0.164594,0.039733,69.101199
2,56,0.164594,0.041022,68.720493
3,56,0.164594,0.041022,69.161225
4,56,0.164594,0.041622,69.063992
5,56,0.164594,0.041680,69.195806
6,56,0.164594,0.044408,69.186483
7,56,0.164594,0.043422,69.453895
8,56,0.164594,0.041393,69.697395
9,56,0.164594,0.041393,69.576292
10,56,0.164594,0.041522,69.852734
1,57,0.164594,0.026807,67.303881
2,57,0.164594,0.027062,67.303881
3,57,0.164594,0.027062,67.534046
4,57,0.164594,0.025889,67.126517
5,57,0.164594,0.026647,67.015710
6,57,0.164594,0.026780,67.280733
7,57,0.164594,0.026780,67.280733
8,57,0.164594,0.027361,67.345306
9,57,0.164594,0.027322,67.345306
10,57,0.164594,0.027322,67.345306
1,58,0.164594,0.015393,55.616930
2,58,0.164594,0.015440,55.771951
3,58,0.164594,0.014354,55.177898
4,58,0.164594,0.013976,54.630560
5,58,0.164594,0.014992,54.927755
6,58,0.164594,0.014992,55.674436
7,58,0.164594,0.014671,54.759818
8,58,0.164594,0.014238,54.507439
9,58,0.164594,0.014238,54.507439
10,58,0.164594,0.014197,54.546075
1,59,0.164594,0.027564,74.221920
2,59,0.164594,0.027631,73.938830
3,59,0.164594,0.028222,74.335413
4,59,0.164594,0.028271,73.871934
5,59,0.164594,0.028271,74.150270
6,59,0.164594,0.028271,74.150270
7,59,0.164594,0.028918,74.441257
8,59,0.164594,0.028461,74.136991
9,59,0.164594,0.028461,74.136991
10,59,0.164594,0.028624,74.343467
1,60,0.164594,0.046931,70.270470
2,60,0.164594,0.048052,70.109721
3,60,0.164594,0.048052,70.109721
4,60,0.164594,0.048198,70.109721
5,60,0.164594,0.049111,70.333136
6,60,0.164594,0.049601,70.333136
7,60,0.164594,0.046866,70.443656
8,60,0.164594,0.046823,70.282567
9,60,0.164594,0.047655,70.303826
10,60,0.164594,0.047655,70.261848
1,61,0.164594,0.044263,61.694508
2,61,0.164594,0.043343,61.694508
3,61,0.164594,0.043343,61.694508
4,61,0.164594,0.043282,61.565442
5,61,0.164594,0.043282,61.645776
6,61,0.164594,0.042665,61.645776
7,61,0.164594,0.043520,61.599513
8,61,0.164594,0.043520,61.599513
9,61,0.164594,0.041450,61.411615
10,61,0.164594,0.041450,61.411615
1,62,0.164594,0.055068,79.995024
2,62,0.164594,0.055068,79.995024
3,62,0.164594,0.055068,79.995024
