Tlag%V_abscissa,Tlag%V_spline,Tlag%V_regression,Tlag%ka_abscissa,Tlag%ka_spline,Tlag%ka_regression,V%Tlag_abscissa,V%Tlag_spline,V%Tlag_regression,V%ka_abscissa,V%ka_spline,V%ka_regression,ka%Tlag_abscissa,ka%Tlag_spline,ka%Tlag_regression,ka%V_abscissa,ka%V_spline,ka%V_regression
-0.333499,0.608326,0.357965,0.236719,0.787072,0.215838,-0.164941,0.0832724,0.0403816,0.236719,0.296392,0.0576234,-0.164941,0.170151,0.0981274,-0.333499,0.147564,0.0045856
-0.308593,0.580902,0.35604,0.271851,0.844823,0.188662,0.106072,0.0817263,0.0401561,0.271851,0.298334,0.0618589,0.106072,0.164824,0.0938311,-0.308593,0.15895,0.0103015
-0.283687,0.548388,0.354115,0.306983,0.899275,0.161485,0.377085,0.0778664,0.0399306,0.306983,0.296987,0.0660944,0.377085,0.156673,0.0895349,-0.283687,0.166552,0.0160174
-0.25878,0.515874,0.352191,0.342115,0.953726,0.134308,0.648098,0.0694222,0.0397052,0.342115,0.29564,0.07033,0.648098,0.142966,0.0852386,-0.25878,0.174153,0.0217333
-0.233874,0.477086,0.350266,0.377247,1.00362,0.107132,0.919111,0.0574594,0.0394797,0.377247,0.291981,0.0745655,0.919111,0.124857,0.0809424,-0.233874,0.176951,0.0274492
-0.208968,0.432391,0.348341,0.412379,1.04843,0.0799549,1.19012,0.0448123,0.0392543,0.412379,0.287133,0.0788011,1.19012,0.105796,0.0766461,-0.208968,0.175227,0.0331651
-0.184061,0.383343,0.346417,0.447512,1.08983,0.0527782,1.46114,0.0290968,0.0390288,0.447512,0.281768,0.0830366,1.46114,0.082241,0.0723499,-0.184061,0.170093,0.038881
-0.159155,0.327186,0.344492,0.482644,1.12791,0.0256015,1.73215,0.0124809,0.0388034,0.482644,0.276208,0.0872721,1.73215,0.0570597,0.0680536,-0.159155,0.159294,0.0445969
-0.134249,0.266796,0.342568,0.517776,1.13436,-0.00157516,2.00316,-0.00469077,0.0385779,0.517776,0.269994,0.0915077,2.00316,0.0300828,0.0637574,-0.134249,0.144616,0.0503128
-0.109343,0.204402,0.340643,0.552908,1.13354,-0.0287519,2.27417,-0.0216054,0.0383525,0.552908,0.263661,0.0957432,2.27417,0.00210675,0.0594611,-0.109343,0.127557,0.0560287
-0.0844362,0.141434,0.338718,0.58804,1.13273,-0.0559285,2.54519,-0.0374759,0.038127,0.58804,0.257329,0.0999788,2.54519,-0.0261592,0.0551648,-0.0844362,0.108243,0.0617446
-0.05953,0.080471,0.336794,0.623172,1.13191,-0.0831052,2.8162,-0.0513545,0.0379015,0.623172,0.250996,0.104214,2.8162,-0.0539646,0.0508686,-0.05953,0.0882399,0.0674605
-0.0346237,0.0239993,0.334869,0.658305,1.1311,-0.110282,3.08721,-0.0633609,0.0376761,0.658305,0.244663,0.10845,3.08721,-0.0810404,0.0465723,-0.0346237,0.0685255,0.0731764
-0.00971739,-0.0224984,0.332945,0.693437,1.13028,-0.137459,3.35823,-0.0713824,0.0374506,0.693437,0.238331,0.112685,3.35823,-0.106102,0.0422761,-0.00971739,0.0512517,0.0788923
0.0151889,-0.0662235,0.33102,0.728569,1.12947,-0.164635,3.62924,-0.0762313,0.0372252,0.728569,0.231998,0.116921,3.62924,-0.129314,0.0379798,0.0151889,0.03474,0.0846082
0.0400952,-0.0948665,0.329095,0.763701,1.12866,-0.191812,3.90025,-0.0768469,0.0369997,0.763701,0.225665,0.121156,3.90025,-0.149952,0.0336836,0.0400952,0.0231411,0.0903241
0.0650015,-0.113096,0.327171,0.798833,1.12784,-0.218989,4.17126,-0.0734215,0.0367743,0.798833,0.219333,0.125392,4.17126,-0.16787,0.0293873,0.0650015,0.0152112,0.09604
0.0899077,-0.113499,0.325246,0.833965,1.12703,-0.246165,4.44228,-0.0680882,0.0365488,0.833965,0.213,0.129628,4.44228,-0.184504,0.0250911,0.0899077,0.0139367,0.101756
0.114814,-0.0858618,0.323321,0.869097,1.12621,-0.273342,4.71329,-0.0583673,0.0363234,0.869097,0.206667,0.133863,4.71329,-0.19785,0.0207948,0.114814,0.0238352,0.107472
0.13972,-0.0582244,0.321397,0.90423,1.09411,-0.300519,4.9843,-0.0454509,0.0360979,0.90423,0.200074,0.138099,4.9843,-0.208506,0.0164986,0.13972,0.0337337,0.113188
0.164627,-0.0261082,0.319472,0.939362,1.04337,-0.327695,5.25532,-0.0307178,0.0358724,0.939362,0.193325,0.142334,5.25532,-0.217477,0.0122023,0.164627,0.0455807,0.118904
0.189533,0.0263203,0.317548,0.974494,0.992629,-0.354872,5.52633,-0.0123165,0.035647,0.974494,0.186576,0.14657,5.52633,-0.22252,0.00790606,0.189533,0.0670789,0.124619
0.214439,0.0821693,0.315623,1.00963,0.940102,-0.382049,5.79734,0.0067911,0.0354215,1.00963,0.179823,0.150805,5.79734,-0.226767,0.0036098,0.214439,0.0906303,0.130335
0.239345,0.138449,0.313698,1.04476,0.863447,-0.409226,6.06835,0.027502,0.0351961,1.04476,0.17305,0.155041,6.06835,-0.228107,-0.000686449,0.239345,0.114889,0.136051
0.264252,0.196435,0.311774,1.07989,0.775875,-0.436402,6.33937,0.0510924,0.0349706,1.07989,0.166288,0.159276,6.33937,-0.224225,-0.0049827,0.264252,0.141957,0.141767
0.289158,0.250346,0.309849,1.11502,0.688304,-0.463579,6.61038,0.0746828,0.0347452,1.11502,0.159525,0.163512,6.61038,-0.220343,-0.00927896,0.289158,0.1697,0.147483
0.314064,0.297758,0.307925,1.15015,0.600732,-0.490756,6.88139,0.0982732,0.0345197,1.15015,0.152762,0.167747,6.88139,-0.216461,-0.0135752,0.314064,0.197042,0.153199
0.338971,0.334991,0.306,1.18529,0.51316,-0.517932,7.15241,0.121864,0.0342942,1.18529,0.146,0.171983,7.15241,-0.21258,-0.0178715,0.338971,0.223074,0.158915
0.363877,0.359341,0.304075,1.22042,0.4032,-0.545109,7.42342,0.144931,0.0340688,1.22042,0.139304,0.176218,7.42342,-0.203538,-0.0221677,0.363877,0.246892,0.164631
0.388783,0.370911,0.302151,1.25555,0.285761,-0.572286,7.69443,0.167285,0.0338433,1.25555,0.13264,0.180454,7.69443,-0.187474,-0.026464,0.388783,0.268293,0.170347
0.413689,0.362031,0.300226,1.29068,0.158695,-0.599462,7.96544,0.189639,0.0336179,1.29068,0.126027,0.18469,7.96544,-0.17141,-0.0307602,0.413689,0.285442,0.176063
0.438596,0.32957,0.298301,1.32582,0.0194537,-0.626639,8.23646,0.211994,0.0333924,1.32582,0.119492,0.188925,8.23646,-0.155345,-0.0350565,0.438596,0.2972,0.181778
0.463502,0.283855,0.296377,1.36095,-0.125038,-0.653816,8.50747,0.234348,0.033167,1.36095,0.112994,0.193161,8.50747,-0.139281,-0.0393527,0.463502,0.305512,0.187494
0.488408,0.223943,0.294452,1.39608,-0.281158,-0.680993,8.77848,0.256703,0.0329415,1.39608,0.106587,0.197396,8.77848,-0.123217,-0.043649,0.488408,0.309487,0.19321
0.513315,0.153418,0.292528,1.43121,-0.453525,-0.708169,9.0495,0.279057,0.0327161,1.43121,0.100342,0.201632,9.0495,-0.107153,-0.0479452,0.513315,0.308547,0.198926
0.538221,0.0806403,0.290603,1.46634,-0.663125,-0.735346,9.32051,0.296919,0.0324906,1.46634,0.0944902,0.205867,9.32051,-0.0860419,-0.0522415,0.538221,0.305715,0.204642
0.563127,0.0137341,0.288678,1.50148,-0.872724,-0.762523,9.59152,0.310842,0.0322651,1.50148,0.0886379,0.210103,9.59152,-0.0605082,-0.0565377,0.563127,0.296874,0.210358
0.588033,-0.0470777,0.286754,1.53661,-1.08232,-0.789699,9.86253,0.324766,0.0320397,1.53661,0.0827857,0.214338,9.86253,-0.0349746,-0.060834,0.588033,0.285416,0.216074
0.61294,-0.107889,0.284829,1.57174,-1.29192,-0.816876,10.1335,0.334339,0.0318142,1.57174,0.0769334,0.218574,10.1335,-0.00685456,-0.0651302,0.61294,0.273959,0.22179
0.637846,-0.168701,0.282905,1.60687,-1.50152,-0.844053,10.4046,0.339379,0.0315888,1.60687,0.0710811,0.222809,10.4046,0.0239601,-0.0694265,0.637846,0.262501,0.227506
0.662752,-0.197583,0.28098,1.642,-1.71112,-0.871229,10.6756,0.344419,0.0313633,1.642,0.0652289,0.227045,10.6756,0.0547748,-0.0737228,0.662752,0.246741,0.233222
0.687659,-0.196806,0.279055,1.67714,-1.92072,-0.898406,10.9466,0.33223,0.0311379,1.67714,0.0593766,0.231281,10.9466,0.0916225,-0.078019,0.687659,0.229187,0.238937
0.712565,-0.149702,0.277131,1.71227,-2.13032,-0.925583,11.2176,0.307424,0.0309124,1.71227,0.0535244,0.235516,11.2176,0.132888,-0.0823153,0.712565,0.209941,0.244653
0.737471,-0.102598,0.275206,1.7474,-2.40101,-0.952759,11.4886,0.282618,0.030687,1.7474,0.0485092,0.239752,11.4886,0.174154,-0.0866115,0.737471,0.190696,0.250369
0.762377,-0.0554943,0.273281,1.78253,-2.68976,-0.979936,11.7596,0.257811,0.0304615,1.78253,0.0437414,0.243987,11.7596,0.21542,-0.0909078,0.762377,0.17145,0.256085
0.787284,0.0813325,0.271357,1.81767,-2.9785,-1.00711,12.0306,0.233005,0.030236,1.81767,0.0389737,0.248223,12.0306,0.256686,-0.095204,0.787284,0.151721,0.261801
0.81219,0.261953,0.269432,1.8528,-3.26725,-1.03429,12.3016,0.208199,0.0300106,1.8528,0.0342059,0.252458,12.3016,0.297951,-0.0995003,0.81219,0.132118,0.267517
0.837096,0.442573,0.267508,1.88793,-3.556,-1.06147,12.5727,0.183393,0.0297851,1.88793,0.0294381,0.256694,12.5727,0.339217,-0.103797,0.837096,0.112514,0.273233
0.862003,0.807851,0.265583,1.92306,-3.84474,-1.08864,12.8437,0.158587,0.0295597,1.92306,0.0246704,0.260929,12.8437,0.380483,-0.108093,0.862003,0.0966782,0.278949
0.886909,1.18129,0.263658,1.95819,-4.1765,-1.11582,13.1147,0.133781,0.0293342,1.95819,0.020635,0.265165,13.1147,0.421749,-0.112389,0.886909,0.0810086,0.284665
0.911815,1.55473,0.261734,1.99333,-4.53512,-1.143,13.3857,0.108974,0.0291088,1.99333,0.0170571,0.2694,13.3857,0.463015,-0.116685,0.911815,0.0653391,0.290381
0.936721,1.92816,0.259809,2.02846,-4.89375,-1.17017,13.6567,0.0636474,0.0288833,2.02846,0.0134792,0.273636,13.6567,0.509004,-0.120982,0.936721,0.0496695,0.296096
0.961628,2.42968,0.257885,2.06359,-5.25237,-1.19735,13.9277,-0.00352315,0.0286579,2.06359,0.00990125,0.277871,13.9277,0.560021,-0.125278,0.961628,0.038068,0.301812
0.986534,3.04463,0.25596,2.09872,-5.61099,-1.22453,14.1987,-0.0706937,0.0284324,2.09872,0.00632334,0.282107,14.1987,0.611038,-0.129574,0.986534,0.030069,0.307528
1.01144,3.65957,0.254035,2.13386,-5.96962,-1.2517,14.4698,-0.137864,0.0282069,2.13386,0.00274543,0.286343,14.4698,0.662055,-0.13387,1.01144,0.02207,0.313244
