iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_alpha,estimate_omega_beta,estimate_omega_ka
113,108.877,1,0.0204917,194.176,0.241153,14.0627,0.186803,0.6849,1.08751,0.603203,0.364762,0.211429,0.801146
114,113.595,1,0.01601,206.394,0.247348,13.201,0.190685,0.716641,1.05997,0.619602,0.355526,0.206076,0.780861
115,112.804,1,0.011816,199.671,0.245255,12.4958,0.194955,0.744353,1.04353,0.608606,0.346524,0.200858,0.784595
116,114.412,1,0.0115243,222.567,0.239618,12.024,0.197737,0.783072,1.21375,0.636999,0.33775,0.212198,0.764729
117,116.076,1,0.0120521,227.446,0.241952,11.3176,0.191448,0.825441,1.21589,0.626933,0.329198,0.217954,0.765159
118,109.993,1,0.0121608,224.9,0.238703,11.122,0.20073,0.91775,1.28462,0.611059,0.320862,0.212435,0.801678
119,111.099,1,0.011629,233.867,0.23722,11.1111,0.19993,0.955805,1.35065,0.595586,0.318934,0.207056,0.786277
120,111.754,1,0.0139367,227.91,0.245434,11.1027,0.202946,0.867542,1.31645,0.580506,0.310858,0.201814,0.766368
121,112.528,1,0.014192,221.715,0.239219,11.079,0.203736,0.908177,1.28312,0.565807,0.318313,0.210126,0.823185
122,114.893,1,0.0161083,205.654,0.238046,10.9094,0.204684,0.831003,1.38995,0.56413,0.310253,0.212467,0.946681
123,117.705,1,0.016528,200.379,0.23899,11.6753,0.205811,0.807906,1.37875,0.570171,0.309878,0.226015,0.922711
124,121.045,1,0.0174288,198.03,0.244183,11.6488,0.197969,0.839139,1.37862,0.555734,0.309687,0.220292,0.925606
125,125.55,1,0.0164003,196.878,0.24723,11.2686,0.199654,0.667928,1.57098,0.618866,0.311779,0.214714,0.902169
126,115.759,1,0.0174844,203.637,0.24097,11.3614,0.197687,0.731979,1.54751,0.603196,0.303885,0.209278,1.01163
127,123.396,1,0.0130259,193.05,0.243861,11.806,0.19756,0.716634,1.56462,0.592792,0.29619,0.203979,1.07569
128,125.353,1,0.0141603,213.787,0.244166,11.5297,0.192979,0.847191,1.525,0.616297,0.28869,0.21239,1.04846
129,119.967,1,0.0107423,219.121,0.241603,11.8992,0.187036,0.863624,1.48639,0.62167,0.281381,0.207012,1.064
130,116.311,1,0.00980089,211.27,0.239245,11.313,0.195661,0.820335,1.44875,0.605929,0.274256,0.201771,1.03706
131,114.722,1,0.0104027,212.441,0.240798,11.466,0.19712,0.894119,1.41207,0.598318,0.27325,0.197634,1.0108
132,125.546,1,0.00779643,215.588,0.244967,11.477,0.204454,0.931937,1.37631,0.653862,0.300969,0.206476,1.02833
133,118.699,1,0.00760808,194.326,0.240335,11.4132,0.205755,0.752367,1.39663,0.637306,0.293349,0.216583,1.00229
134,113.208,1,0.00863565,200.966,0.235766,11.4288,0.201472,0.8064,1.38752,0.643129,0.285921,0.211099,0.976912
135,118.72,1,0.00762684,201.113,0.242734,11.5996,0.206506,0.76611,1.35239,0.67731,0.278681,0.223609,0.952176
136,107.746,1,0.00802455,195.934,0.239614,11.4337,0.206161,0.683195,1.31814,0.660161,0.271625,0.217948,0.928066
137,107.57,1,0.00645963,202.23,0.235406,11.2796,0.204025,0.745376,1.28477,0.650201,0.276424,0.212429,0.904567
138,108.389,1,0.00831014,197.422,0.23785,11.5465,0.20561,0.668602,1.26051,0.633737,0.269424,0.20705,0.925467
139,108.065,1,0.00637208,204.342,0.234286,11.3289,0.203546,0.705033,1.26547,0.61769,0.262602,0.218154,0.902033
140,110.969,1,0.00764837,193.664,0.239526,11.038,0.208821,0.660898,1.3031,0.612348,0.255953,0.218349,0.879193
141,111.533,1,0.00960731,200.165,0.236841,11.2424,0.218166,0.696303,1.5017,0.596843,0.264364,0.229934,0.856932
142,111.309,1,0.00742235,195.195,0.234415,10.7389,0.225301,0.726704,1.59577,0.640503,0.25767,0.224112,0.835234
143,119.356,1,0.00986613,191.534,0.241335,10.9992,0.216135,0.724353,1.56062,0.663252,0.251146,0.235727,0.872849
144,128.503,1,0.00951493,202.757,0.240959,11.3093,0.214991,0.714708,1.72488,0.646458,0.28151,0.272892,0.850748
145,126.717,1,0.00923108,187.991,0.236122,11.018,0.220703,0.738332,1.703,0.676513,0.274382,0.300813,0.970713
146,128.472,1,0.00878607,178.593,0.237493,10.8397,0.212271,0.702451,1.69893,0.67565,0.267435,0.293196,0.986015
147,124.464,1,0.00639403,198.608,0.23807,10.6494,0.217476,0.673498,1.70195,0.658542,0.260663,0.285773,0.961048
148,128.202,1,0.00819887,198.174,0.235436,10.3493,0.216409,0.717312,1.73098,0.664097,0.271293,0.278537,0.960655
149,122.341,1,0.0068987,195.852,0.234707,10.4549,0.219403,0.71789,1.73423,0.647282,0.297201,0.271484,0.936331
150,123.593,1,0.00787648,199.611,0.237133,10.093,0.214211,0.785841,1.84276,0.630892,0.289675,0.265739,0.912622
151,123.478,1,0.0114151,201.717,0.236422,10.0264,0.222032,0.760247,1.7961,0.679709,0.305968,0.25901,0.889514
152,116.363,1,0.00746036,197.517,0.235714,10.5552,0.215447,0.740224,1.75062,0.662499,0.298221,0.252452,0.866991
153,124.929,1,0.00655109,214.996,0.237054,10.7559,0.210939,0.831736,1.816,0.738589,0.29067,0.24606,0.926968
154,131.579,1,0.00654912,215.776,0.24318,10.856,0.215285,0.835042,2.00212,0.719888,0.28331,0.239829,0.91378
155,125.323,1,0.00466432,197.588,0.237071,10.8726,0.212188,0.74361,1.95143,0.70166,0.301448,0.233757,0.890643
156,118.757,2,0.00601458,189.186,0.23588,11.5761,0.21373,0.671959,1.90201,0.683893,0.293815,0.227838,0.868091
157,124.875,2,0.00566955,184.785,0.237845,11.8537,0.210054,0.65646,1.88097,0.624564,0.303061,0.215317,0.878174
158,115.234,2,0.00598451,176.919,0.236798,11.8028,0.206058,0.629854,1.6556,0.603361,0.265911,0.205408,0.856093
159,125.408,2,0.00497234,185.906,0.236564,11.8226,0.207808,0.650942,1.78921,0.6971,0.286805,0.239591,0.820333
160,120.279,2,0.00337996,185.017,0.235471,11.5513,0.21216,0.624212,1.85683,0.656276,0.269992,0.23561,0.777905
161,122.463,2,0.00158974,184.222,0.239674,11.2702,0.214616,0.61116,1.77257,0.664074,0.268717,0.211722,0.8309
162,132.916,2,0.00119307,186.274,0.248549,11.1811,0.210137,0.635919,2.07124,0.719701,0.271773,0.16994,0.893507
163,125.492,2,0.00158666,190.89,0.246322,11.1305,0.209741,0.632777,2.08557,0.734201,0.27723,0.149204,0.846891
164,119.79,2,0.00172248,191.93,0.241291,10.8037,0.208186,0.643544,2.13073,0.66824,0.283979,0.145853,0.859116
165,108.879,2,0.0015733,187.542,0.238195,11.1455,0.20771,0.651035,1.86195,0.658932,0.244898,0.145044,0.880267
166,110.224,2,0.00131838,185.975,0.237711,11.255,0.20932,0.652453,1.7663,0.655108,0.245375,0.145413,0.873266
167,109.979,2,0.00146181,186.295,0.236202,11.5831,0.204174,0.69731,1.64259,0.673936,0.267827,0.138894,0.911324
168,113.771,2,0.00169633,184.843,0.237005,11.9654,0.205582,0.679094,1.60237,0.691735,0.291253,0.140324,0.924527
169,118.021,2,0.00212351,184.045,0.240222,11.9793,0.207325,0.683133,1.52839,0.661193,0.314846,0.134225,0.985587
170,113.62,2,0.00223679,193.913,0.239263,11.8746,0.205212,0.71678,1.57755,0.65783,0.32575,0.124441,0.97283
171,114.806,2,0.00210104,201.355,0.237065,11.7719,0.200748,0.719605,1.59651,0.665617,0.344758,0.120183,1.02162
172,112.528,2,0.00208829,200.449,0.236293,11.992,0.200132,0.763859,1.52012,0.658351,0.3535,0.125538,0.992595
173,101.946,2,0.00209665,198.376,0.233842,11.9982,0.202905,0.759995,1.40298,0.660552,0.330459,0.116762,1.05575
174,106.301,2,0.0019839,197.176,0.233075,11.6113,0.204713,0.734143,1.385,0.660243,0.323535,0.11216,1.13125
175,110.419,2,0.00197688,192.342,0.23514,11.6264,0.202444,0.742625,1.33861,0.665983,0.316332,0.116798,1.14091
176,114.283,2,0.00199521,194.854,0.236108,11.3735,0.201736,0.739755,1.3881,0.649138,0.315887,0.121043,1.16725
177,111.006,2,0.00213225,191.667,0.237826,11.4638,0.202077,0.738859,1.34249,0.642927,0.328234,0.115276,1.16015
178,114.33,2,0.00215819,195.604,0.239662,11.4704,0.200845,0.749552,1.27796,0.656059,0.319215,0.118809,1.17902
179,100.798,2,0.00201582,194.175,0.237921,11.7115,0.199294,0.732457,1.26024,0.645262,0.32612,0.110529,1.1429
