id,p0_SAEM,alpha_SAEM,tau_SAEM,p0_mean,alpha_mean,tau_mean,p0_sd,alpha_sd,tau_sd
239,0.208599,0.025525,71.469224,0.208473,0.025399,71.403172,0.000000,0.000577,0.247770
240,0.208599,0.014900,64.904130,0.208473,0.014870,64.863982,0.000000,0.000883,0.466330
241,0.208599,0.022211,57.228140,0.208473,0.022000,57.099470,0.000000,0.000632,0.390568
242,0.208599,0.024229,69.165382,0.208473,0.024205,69.161790,0.000000,0.000520,0.234331
243,0.208599,0.018710,76.174564,0.208473,0.018346,76.143037,0.000000,0.001293,0.217365
244,0.208599,0.016675,67.757245,0.208473,0.016562,67.696918,0.000000,0.000494,0.305122
245,0.208599,0.015388,57.798044,0.208473,0.015324,57.735478,0.000000,0.000330,0.341699
246,0.208599,0.042761,67.841767,0.208473,0.042943,67.867542,0.000000,0.001082,0.145176
247,0.208599,0.012252,66.103790,0.208473,0.012366,66.200438,0.000000,0.000308,0.337771
248,0.208599,0.025888,67.410256,0.208473,0.025728,67.356743,0.000000,0.000724,0.184384
249,0.208599,0.036597,59.455393,0.208473,0.036510,59.431655,0.000000,0.001006,0.291790
250,0.208599,0.038068,60.292168,0.208473,0.038129,60.317552,0.000000,0.000918,0.181806
