iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_ka
138,131.87,1,0.00124937,220.629,0.236506,4.28859,0.391255,0.835685,3.6718,0.597561,0.837373
139,130.501,1,0.00110989,227.076,0.231513,4.28861,0.38861,0.915716,3.66581,0.58243,0.84868
140,133.224,1,0.00143935,214.459,0.235503,4.16205,0.388423,0.877055,3.57299,0.58818,0.864589
141,125.095,1,0.00247463,219.909,0.22954,4.06817,0.392671,0.933955,3.57116,0.573287,0.842697
142,130.299,1,0.00195409,218.422,0.232898,4.03201,0.393977,0.909993,3.6639,0.610529,0.821359
143,132.479,1,0.00294953,220.342,0.235386,3.94137,0.392339,0.929136,3.57113,0.623725,0.825055
144,134.892,1,0.00127086,228.28,0.236744,3.9268,0.391103,0.870691,3.77767,0.607932,0.804164
145,135.984,1,0.00142905,214.615,0.23638,3.91851,0.396827,0.908252,3.68202,0.625005,0.86983
146,129.924,1,0.00175977,218.586,0.23226,3.93294,0.398403,0.866015,3.58878,0.60918,0.847805
147,137.978,1,0.00108058,222.36,0.237125,3.9016,0.398592,0.816437,3.89586,0.607705,0.854382
148,135.832,1,0.00218862,217.565,0.236626,3.89894,0.398493,0.849767,3.79722,0.638832,0.861569
149,130.045,1,0.00135605,220.355,0.232731,3.83815,0.396302,0.839995,3.70107,0.622656,0.839754
150,128.876,1,0.00145402,220.721,0.231849,3.8356,0.393479,0.861618,3.60736,0.60689,0.855935
151,132.087,1,0.00213162,226.57,0.23766,3.77074,0.392106,0.792914,3.51602,0.641895,0.834262
152,134.729,1,0.000807439,224.753,0.235741,3.68667,0.394412,0.88369,3.42699,0.625641,0.860475
153,128.763,1,0.00109323,247.507,0.229772,3.75645,0.394219,1.12778,3.34021,0.673899,0.945023
154,138.623,1,0.00108569,238.452,0.230614,3.76623,0.39556,1.18381,3.88261,0.680862,0.98065
155,135.033,1,0.000491722,228.101,0.227974,3.78312,0.393928,1.02529,3.84121,0.663622,0.95582
156,128.868,1,0.000913601,222.212,0.22677,3.78322,0.39272,0.98971,3.74395,0.646819,0.931618
157,131.992,1,0.00130533,224.066,0.22552,3.76936,0.39743,1.02727,4.12576,0.630441,0.946392
158,133.641,1,0.00161613,224.664,0.229261,3.73141,0.397499,0.970599,4.02129,0.660749,0.922428
159,142.887,1,0.000899572,233.727,0.235551,3.72619,0.400297,1.00131,4.08084,0.697489,0.92147
160,141.372,1,0.000333308,242.716,0.229587,3.76951,0.399746,0.969586,4.28681,0.721156,0.977306
161,141.396,1,7.92274e-05,233.338,0.230714,3.76691,0.399004,0.917573,4.38679,0.702896,0.954801
162,153.235,1,5.73877e-05,228.19,0.238786,3.72939,0.398871,0.931685,4.87231,0.747362,0.986445
163,148.331,1,7.08774e-05,234.971,0.23274,3.6978,0.398429,0.972965,5.27724,0.766296,0.961468
164,146.302,1,6.96058e-05,220.302,0.230367,3.68737,0.397873,0.890255,5.14362,0.746893,0.996918
165,143.042,1,6.6629e-05,212.98,0.22769,3.75507,0.396214,0.848315,5.01338,0.727981,1.0228
166,141.595,1,6.59006e-05,218.671,0.227404,3.76449,0.396109,0.899742,5.24399,0.709548,0.996904
167,143.726,1,8.93002e-05,224.701,0.230127,3.71887,0.396816,0.966164,5.17947,0.707496,0.971662
168,143.899,1,0.000167068,221.705,0.226421,3.77003,0.400779,0.967297,5.15555,0.715443,1.05339
169,144.868,1,0.000245586,229.297,0.225474,3.75848,0.401312,1.06651,5.24419,0.718137,1.07332
170,146.946,1,0.000266311,229.331,0.230438,3.80064,0.403965,1.04988,5.11141,0.699953,1.12316
171,146.575,1,0.000212953,226.032,0.228831,3.75546,0.40213,1.04841,5.13081,0.68223,1.14079
172,138.561,1,0.000760822,221.364,0.22645,3.7293,0.403581,1.12923,5.00089,0.702071,1.1119
173,139.766,1,0.000359556,215.039,0.223176,3.71739,0.405419,0.988746,4.87427,0.720448,1.0915
174,143.509,1,0.000229461,216.478,0.223117,3.73185,0.404798,1.0735,4.75085,0.758291,1.17284
175,151.375,1,0.000200349,207.493,0.229738,3.73824,0.404727,0.871937,5.30457,0.73909,1.20315
176,157.056,1,0.000355373,213.013,0.233592,3.73055,0.404097,1.02621,5.5194,0.732169,1.2778
177,157.533,1,0.000343876,208.212,0.238615,3.71203,0.404914,1.00111,5.37965,0.71363,1.24544
178,149.312,1,0.000168401,214.784,0.232573,3.74302,0.406798,0.977633,5.24343,0.703664,1.22057
179,149.987,1,8.07349e-05,205.625,0.232476,3.71783,0.404693,0.887875,5.44863,0.685847,1.18966
180,150.918,1,0.000150557,208.536,0.23125,3.7212,0.404557,0.820042,5.59748,0.705294,1.15954
181,155.526,1,2.60156e-05,206.332,0.236286,3.73194,0.405557,0.913951,5.95515,0.687435,1.13018
182,153.569,1,2.60179e-05,209.889,0.239522,3.74489,0.405944,0.723666,5.80436,0.678642,1.10156
183,149.785,1,2.49073e-05,203.1,0.236981,3.72874,0.40438,0.688168,5.65739,0.661459,1.07367
184,150.054,1,1.03352e-05,210.376,0.235437,3.73091,0.403556,0.678482,5.51414,0.703381,1.05226
185,149.182,1,4.25373e-06,218.456,0.235379,3.71427,0.402661,0.784373,5.37452,0.733528,1.02562
186,152.601,1,8.93305e-06,216.251,0.236452,3.72797,0.401994,0.838473,5.23843,0.714954,1.1927
187,155.379,1,9.14413e-06,217.773,0.239062,3.713,0.402433,0.895702,5.10579,0.712949,1.1625
188,155.386,1,1.27913e-05,218.495,0.235167,3.71443,0.403138,0.96115,5.09639,0.694897,1.22332
189,152.983,1,1.37874e-05,211.095,0.234889,3.69566,0.40439,0.868894,4.96734,0.685129,1.20405
190,155.317,1,2.0325e-05,218.828,0.237192,3.69103,0.40543,0.856574,4.84157,0.722694,1.20962
191,156.328,1,1.78022e-05,201.51,0.238441,3.67089,0.405367,0.823837,4.78355,0.704395,1.24255
192,149.471,1,8.12983e-06,217.247,0.232505,3.68321,0.403333,0.958621,4.66243,0.700763,1.21108
193,147.966,1,7.81716e-06,225.938,0.232966,3.66388,0.403467,0.971515,4.54437,0.715173,1.18042
194,142.746,1,5.25645e-06,212.296,0.231267,3.67303,0.402335,0.851415,4.43696,0.697064,1.15053
195,142.994,1,2.01963e-05,222.26,0.232506,3.65601,0.40207,0.925944,4.32461,0.679414,1.1214
196,139.877,1,1.00893e-05,225.103,0.231115,3.62158,0.402516,0.974463,4.21511,0.691279,1.093
197,141.911,1,1.03172e-05,226.823,0.235136,3.62744,0.403051,0.942471,4.10838,0.712161,1.06533
198,137.278,1,5.06685e-06,220.442,0.231309,3.63315,0.402666,0.9107,4.00436,0.696639,1.03835
199,148.258,1,3.38918e-06,226.484,0.234009,3.61743,0.403216,0.902859,4.66024,0.706377,1.05044
200,149.776,1,2.01063e-06,227.521,0.23559,3.64329,0.402736,0.93792,4.54224,0.735525,1.06719
201,146.808,1,1.92296e-06,228.356,0.230617,3.60693,0.4009,0.933108,4.83306,0.734498,1.04017
202,148.906,1,2.77023e-06,228.237,0.23154,3.6264,0.401518,0.890497,5.08247,0.71642,1.02968
203,148.708,1,2.95428e-06,220.455,0.23481,3.63236,0.402086,0.882248,4.95378,0.69828,1.07079
204,146.921,1,2.66121e-06,204.952,0.231715,3.64439,0.400961,0.780685,5.34187,0.680599,1.04368
205,150.399,1,5.73189e-07,211.734,0.235831,3.64151,0.401049,0.853602,5.22455,0.671373,1.01726
206,147.002,1,4.87379e-07,203.958,0.233171,3.63298,0.401693,0.735012,5.09226,0.682879,1.09107
207,152.74,1,9.6681e-07,226.804,0.233793,3.63423,0.402139,0.848615,5.32878,0.721362,1.06344
208,148.039,1,1.02308e-06,223.446,0.230123,3.63895,0.402512,0.908253,5.31393,0.703096,1.0379
209,152.214,1,6.26334e-07,209.131,0.235954,3.63041,0.404363,0.841967,5.53091,0.70626,1.01162
210,153.826,1,2.0074e-06,218.96,0.234231,3.62612,0.404911,0.844522,6.00417,0.688377,1.05993
211,154.01,1,9.81124e-07,223.166,0.233972,3.63977,0.406061,0.902255,6.16807,0.679099,1.05292
212,153.843,1,6.90837e-07,212.113,0.238248,3.63944,0.406378,0.877614,6.01189,0.665133,1.02626
213,153.88,1,2.87054e-07,218.888,0.233424,3.63124,0.405872,0.808667,6.70379,0.683491,1.00027
214,159.289,1,1.24626e-07,210.52,0.238326,3.63945,0.406136,0.888192,6.53405,0.666185,1.10054
215,155.382,1,9.54932e-08,216.114,0.237069,3.65256,0.406081,0.775938,6.71181,0.659795,1.07268
216,159.438,1,2.0933e-07,216.975,0.235085,3.66042,0.405435,0.896539,6.57598,0.676175,1.19626
217,155.18,1,6.46885e-08,227.143,0.231177,3.65096,0.404656,0.96322,6.94991,0.663782,1.16597
218,153.568,1,1.62135e-08,215.903,0.233403,3.63907,0.405029,0.910469,6.77393,0.659359,1.13645
219,159.625,1,1.99094e-08,216.874,0.238054,3.64887,0.404259,0.856891,6.60241,0.683121,1.10768
220,160.262,1,4.0304e-08,230.024,0.236019,3.6588,0.402439,0.854494,7.12541,0.699604,1.07963
221,148.504,1,2.12213e-08,222.706,0.230043,3.66436,0.402312,0.92178,6.94499,0.681889,1.05229
222,153.298,1,1.57336e-08,238.526,0.23492,3.65717,0.401644,0.914634,6.76914,0.717494,1.02565
223,149.143,1,1.16145e-08,231.838,0.232277,3.66324,0.402612,0.942868,6.59774,0.699327,0.999677
224,154.139,1,1.93045e-08,227.04,0.2381,3.67173,0.402141,0.888487,6.48878,0.681619,0.974365
225,151.842,1,3.38479e-08,219.919,0.232072,3.65735,0.40352,0.855379,6.51575,0.672938,1.01489
226,154.865,1,9.32144e-09,205.787,0.236231,3.66308,0.404142,0.803772,6.42284,0.655899,1.0041
227,160.453,1,1.71229e-08,220.932,0.238649,3.66747,0.404007,0.860575,6.32245,0.686387,1.11831
228,155.952,1,1.10912e-08,218.747,0.23367,3.6623,0.404344,0.906928,6.16236,0.695914,1.18828
229,154.827,1,8.40066e-09,217.587,0.232357,3.66357,0.403537,0.963246,6.00633,0.68269,1.19851
230,157.458,1,1.30191e-08,203.79,0.233805,3.65719,0.404719,0.99512,6.35559,0.665404,1.25762
231,156.944,1,1.6869e-08,218.338,0.234123,3.67066,0.404794,0.911711,6.6082,0.657381,1.22578
232,156.524,1,7.23398e-08,212.806,0.237426,3.66972,0.405623,0.862274,6.44087,0.653142,1.19474
233,161.822,1,4.7547e-08,200.979,0.238663,3.67477,0.405391,0.732104,7.3933,0.66066,1.16449
234,157.291,1,2.82048e-08,216.59,0.23262,3.67218,0.405266,1.00067,7.2061,0.669865,1.217
235,159.804,1,1.0548e-08,228.978,0.232943,3.67149,0.405686,0.911667,7.19005,0.736384,1.18618
236,152.856,1,5.99436e-09,213.425,0.230895,3.66786,0.405855,0.837539,7.00799,0.717738,1.15615
237,157.481,1,6.57166e-09,215.769,0.233864,3.67203,0.406692,0.925237,6.83055,0.710383,1.12687
238,163.34,1,1.3897e-08,227.079,0.241182,3.67349,0.40649,0.929121,6.65759,0.708808,1.15647
239,161.258,1,2.21656e-08,226.136,0.237894,3.67911,0.407223,0.924236,6.68006,0.701894,1.12719
240,155.568,1,3.1629e-08,225.041,0.233438,3.68476,0.406553,0.865883,6.52311,0.712263,1.09865
241,152.281,1,2.24444e-08,219.157,0.230573,3.69097,0.406465,0.823256,6.8177,0.694228,1.07083
242,156.515,1,1.54311e-08,223.571,0.235519,3.68533,0.406876,0.840913,6.91424,0.708612,1.04372
243,158.242,1,1.87428e-08,220.828,0.236731,3.68508,0.407165,0.98796,6.73917,0.714781,1.01729
244,159.739,1,6.8201e-09,220.016,0.237089,3.69004,0.407942,0.841707,7.07987,0.732168,0.991532
245,159.391,1,3.85089e-09,221.421,0.239856,3.688,0.407955,0.863877,6.98233,0.727056,0.966426
246,149.714,1,9.31799e-09,227.042,0.233783,3.69285,0.407954,0.886276,6.80553,0.744932,0.941956
247,152.113,1,1.30116e-08,220.901,0.230238,3.698,0.408003,0.861982,6.88259,0.736249,0.920551
248,154.719,1,4.50762e-09,212.289,0.235379,3.69974,0.408241,0.776551,6.70832,0.717606,0.94486
249,151.397,1,2.02355e-08,211.138,0.231478,3.70327,0.407509,0.73438,6.79996,0.699436,1.00628
250,154.497,1,1.9596e-08,213.32,0.232049,3.69688,0.407025,0.854079,7.33785,0.681726,0.9808
251,159.476,1,4.91605e-08,227.658,0.23575,3.70169,0.40713,0.936183,7.66017,0.710208,0.999832
252,159.091,1,2.46835e-07,240.538,0.23545,3.70061,0.407018,0.883887,7.46621,0.747401,0.974516
253,156.155,1,1.83762e-07,226.63,0.231599,3.69753,0.406574,0.983641,7.90404,0.728477,0.94984
254,157.358,1,4.61194e-07,220.368,0.235115,3.69595,0.406526,0.819141,7.81662,0.710031,0.92579
