STUDY,ARM,DRUG,DRUGinteger,TIME,Y,Publication,Narm,TRT,DiseaseDuration,CReactiveProtein,SwollenJointCount,transY
7,1,canaki,3,8,41.72,Novartis,69,canaki,11.1,1.6,11.8,-2.776724529
7,1,canaki,3,12,48.96,Novartis,69,canaki,11.1,1.6,11.8,-0.345605399
6,1,abata,2,4.14,41.43,Schiff,156,abata,7.9,3.1,21.3,-4.32498881
6,1,abata,2,8.14,56.88,Schiff,156,abata,7.9,3.1,21.3,3.46077732
6,1,abata,2,12.14,65.58,Schiff,156,abata,7.9,3.1,21.3,8.053906674
6,1,abata,2,16.14,69.74,Schiff,156,abata,7.9,3.1,21.3,10.42864257
6,1,abata,2,20.14,67.01,Schiff,156,abata,7.9,3.1,21.3,8.852565668
6,1,abata,2,24.14,66.10,Schiff,156,abata,7.9,3.1,21.3,8.342413165
6,1,abata,2,28.14,67.01,Schiff,156,abata,7.9,3.1,21.3,8.852565668
6,1,abata,2,32.14,72.08,Schiff,156,abata,7.9,3.1,21.3,11.84463897
6,1,abata,2,36.14,73.90,Schiff,156,abata,7.9,3.1,21.3,12.99678415
6,1,abata,2,40.14,67.92,Schiff,156,abata,7.9,3.1,21.3,9.369909159
6,1,abata,2,44.14,68.70,Schiff,156,abata,7.9,3.1,21.3,9.819528667
6,1,abata,2,48.14,68.96,Schiff,156,abata,7.9,3.1,21.3,9.970744686
6,1,abata,2,52.14,72.08,Schiff,156,abata,7.9,3.1,21.3,11.84463897
8,1,adali,1,2.14,34.27,Weinblatt2013,328,adali,1.7,1.5,15.9,-11.79342539
8,1,adali,1,4.14,46.95,Weinblatt2013,328,adali,1.7,1.5,15.9,-2.21345547
8,1,adali,1,8.14,59.62,Weinblatt2013,328,adali,1.7,1.5,15.9,7.060298885
8,1,adali,1,12.14,61.97,Weinblatt2013,328,adali,1.7,1.5,15.9,8.844444793
8,1,adali,1,16.14,67.14,Weinblatt2013,328,adali,1.7,1.5,15.9,12.93741767
8,1,adali,1,20.14,63.85,Weinblatt2013,328,adali,1.7,1.5,15.9,10.30230196
8,1,adali,1,24.14,66.20,Weinblatt2013,328,adali,1.7,1.5,15.9,12.1721359
8,1,adali,1,28.14,65.26,Weinblatt2013,328,adali,1.7,1.5,15.9,11.41718968
8,1,adali,1,32.14,64.20,Weinblatt2013,328,adali,1.7,1.5,15.9,10.57917148
8,1,adali,1,36.14,66.67,Weinblatt2013,328,adali,1.7,1.5,15.9,12.55342935
8,1,adali,1,40.14,64.79,Weinblatt2013,328,adali,1.7,1.5,15.9,11.04332419
8,1,adali,1,44.14,63.38,Weinblatt2013,328,adali,1.7,1.5,15.9,9.934951934
8,1,adali,1,48.14,66.67,Weinblatt2013,328,adali,1.7,1.5,15.9,12.55342935
8,1,adali,1,52.14,62.91,Weinblatt2013,328,adali,1.7,1.5,15.9,9.569585177
9,1,abata,2,2.17,26.19,Genovese2011,683,abata,7.7,2.7,19.6,-27.07750493
9,1,abata,2,4.35,45.50,Genovese2012,683,abata,7.7,2.7,19.6,-4.714143605
9,1,abata,2,8.69,61.38,Genovese2013,683,abata,7.7,2.7,19.6,12.10358346
9,1,abata,2,13.04,69.44,Genovese2014,683,abata,7.7,2.7,19.6,21.45572634
9,1,abata,2,17.39,71.03,Genovese2015,683,abata,7.7,2.7,19.6,23.44051461
9,1,abata,2,21.74,75.66,Genovese2016,683,abata,7.7,2.7,19.6,29.64157206
9,1,abata,2,26.08,75.13,Genovese2017,683,abata,7.7,2.7,19.6,28.89612399
